uniName,programmeName,courseName,degreeName,courseUrlExternal
Anglia Ruskin University - ARU,Computer Science,Computer Games Design,BA,https://www.aru.ac.uk/study/undergraduate/computer-games-design
Anglia Ruskin University - ARU,Creative Writing,Creative Writing,BA,https://www.aru.ac.uk/study/undergraduate/creative-writing
Anglia Ruskin University - ARU,Film Production,Film and Television Production,BA,https://www.aru.ac.uk/study/undergraduate/film-and-television-production
Anglia Ruskin University - ARU,Computer Science,Computer Games Art,BA,https://www.aru.ac.uk/study/undergraduate/computer-games-art
Anglia Ruskin University - ARU,Computer Science,Computer Science,BEng,https://www.aru.ac.uk/study/undergraduate/computer-science-beng
Anglia Ruskin University - ARU,Computer Science,Applied Computer Science (Top-up),BSc,https://www.aru.ac.uk/study/undergraduate/applied-computer-science-top-up
Anglia Ruskin University - ARU,Education,International Nursing Studies (Top-Up),BSc,https://www.aru.ac.uk/study/undergraduate/international-nursing-studies
Anglia Ruskin University - ARU,Sports Science,Applied Sport Science and Coaching (Top Up),BSc,https://www.aru.ac.uk/study/undergraduate/applied-sport-science-and-coaching-top-up
Anglia Ruskin University - ARU,Health Professions,Registered Nurse (Mental Health),BSc,https://www.aru.ac.uk/study/degree-apprenticeships/apprentice/our-courses/registered-nurse-mental-health
Anglia Ruskin University - ARU,Accounting and Finance,Finance and Accounting (London),BSc,https://london.aru.ac.uk/courses/bsc-hons-finance-and-accounting
Anglia Ruskin University - ARU,Sports Science,Applied Sport Science,BSc,https://www.aru.ac.uk/study/undergraduate/applied-sport-science
Anglia Ruskin University - ARU,Computer Science,Computing,BSc,https://www.aru.ac.uk/study/undergraduate/computing
Anglia Ruskin University - ARU,Business and Management,International Business Management (ARU London),BSc,https://london.aru.ac.uk/courses/bsc-hons-international-business-management
Anglia Ruskin University - ARU,Computer Science,Computer Games Programming,BSc,https://www.aru.ac.uk/study/undergraduate/computer-games-programming
Anglia Ruskin University - ARU,Computer Science,Artificial Intelligence,BSc,https://www.aru.ac.uk/study/undergraduate/artificial-intelligence
Anglia Ruskin University - ARU,Computer Science,Computer Networking,BSc,https://www.aru.ac.uk/study/undergraduate/computer-networking
Anglia Ruskin University - ARU,Computer Science,Computer Science (3 Years),BSc,https://www.aru.ac.uk/study/undergraduate/computer-science-bsc
Anglia Ruskin University - ARU,Computer Science,Cyber Security,BSc,https://www.aru.ac.uk/study/undergraduate/cyber-security
Anglia Ruskin University - ARU,Computer Science,Cyber Security and Digital Forensics,BSc,https://www.aru.ac.uk/study/undergraduate/cyber-security-and-digital-forensics
Anglia Ruskin University - ARU,Computer Science,Cyber Security and Forensic Computing,BSc,https://www.aru.ac.uk/study/undergraduate/cyber-security-with-forensic-computing
Anglia Ruskin University - ARU,Nursing,Nursing (Adult),BSc,https://www.aru.ac.uk/study/undergraduate/nursing-adult
Anglia Ruskin University - ARU,Midwifery,Midwifery,BSc,https://www.aru.ac.uk/study/undergraduate/midwifery
Anglia Ruskin University - ARU,Nursing,Nursing (Adult) (with foundation Year),BSc,https://www.aru.ac.uk/study/undergraduate/nursing-adult#careers
Anglia Ruskin University - ARU,Business and Management,Business and Human Resource Management,FDA,https://www.aru.ac.uk/study/undergraduate/business-and-human-resource-management-london
Anglia Ruskin University - ARU,Development Studies,Game Design and Development,FDA,https://www.aru.ac.uk/study/undergraduate/game-design-and-development
