"course_url","study_level","source_scope"
"https://www.aru.ac.uk/study/undergraduate/accounting-and-finance","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/acting","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/agriculture","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/animal-management-pet-behaviour-and-welfare","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/animal-management-zoo-and-wildlife-conservation","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/animal-science","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/animation-and-illustration","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/architecture","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/artificial-intelligence","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/audio-and-music-technology","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/banking-finance-and-fintech","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/biology","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/biomedical-engineering","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/biomedical-science","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/biomedical-sciences","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/building-surveying","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-and-human-resource-management-london","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-and-law-london","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-and-management","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-and-tourism-management-london","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-hospitality-and-events-management-london","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-management","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-management-and-business-analytics","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-management-and-digital-marketing","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-management-and-entrepreneurship-and-innovation","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-management-and-finance","foundation","FOUNDATION"
"https://www.aru.ac.uk/study/undergraduate/business-management-and-human-resource-management","foundation","FOUNDATION"
