uniName,programmeName,courseName,degreeName,courseUrlExternal
Aston University,General Engineering,Professional Engineering,BEng,https://www.aston.ac.uk/study/courses/professional-engineering-beng
Aston University,Chemical Engineering,Chemical Engineering,BEng,https://www.aston.ac.uk/study/courses/chemical-engineering-beng/september-2024
Aston University,General Engineering,Design Engineering,BEng,https://www.aston.ac.uk/study/courses/design-engineering-beng/september-2024
Aston University,Electrical Engineering,Electrical and Electronic Engineering,BEng,https://www.aston.ac.uk/study/courses/electrical-and-electronic-engineering-beng/september-2024
Aston University,Computer Science,Electronic Engineering and Computer Science,BEng,https://www.aston.ac.uk/study/courses/electronic-engineering-and-computer-science-beng/september-2024
Aston University,General Engineering,Mechanical Engineering,BEng,https://www.aston.ac.uk/study/courses/mechanical-engineering-beng/september-2024
Aston University,General Engineering,Biomedical Engineering (3 Years),BEng,https://www.aston.ac.uk/study/courses/biomedical-engineering-beng/september-2024
Aston University,Aerospace Engineering,Aerospace Engineering,BEng,https://www.aston.ac.uk/study/courses/aerospace-engineering-beng/september-2026
Aston University,General Engineering,Civil Engineering,BEng,https://www.aston.ac.uk/study/courses/civil-engineering-beng/september-2024
Aston University,Business and Management,Global Business and Management (Top-up),BSc,https://www.aston.ac.uk/study/courses/global-business-and-management-top-bsc/september-2025
Aston University,Psychology,Psychology (3 Years),BSc,https://www.aston.ac.uk/study/courses/psychology-3-year-bsc/september-2026
Aston University,Business and Management,Business Economics,BSc,https://www.aston.ac.uk/study/courses/business-economics-bsc/september-2026
Aston University,Marketing,Digital Marketing,BSc,https://www.aston.ac.uk/study/courses/digital-marketing-bsc/september-2026
Aston University,Computer Science,Logistics with Supply Chain Management,BSc,https://www.aston.ac.uk/study/courses/logistics-supply-chain-management-bsc/september-2024
Aston University,Accounting and Finance,Accounting and Finance,BSc,https://www.aston.ac.uk/study/courses/accounting-and-finance-bsc/september-2024
Aston University,Business and Management,Business Analytics,BSc,https://www.aston.ac.uk/study/courses/business-analytics-bsc/september-2024
Aston University,Business and Management,Business and International Relations,BSc,https://www.aston.ac.uk/study/courses/business-and-international-relations-bsc/september-2024
Aston University,Business and Management,Business and Management,BSc,https://www.aston.ac.uk/study/courses/business-and-management-bsc/september-2024
Aston University,Business and Management,Business and Politics,BSc,https://www.aston.ac.uk/study/courses/business-and-politics-bsc/september-2024
Aston University,Business and Management,Business and Sociology,BSc,https://www.aston.ac.uk/study/courses/business-and-sociology-bsc/september-2024
Aston University,Business and Management,Business Computing and IT,BSc,https://www.aston.ac.uk/study/courses/business-computing-and-it-bsc/september-2024
Aston University,Business and Management,Business Enterprise Development,BSc,https://www.aston.ac.uk/study/courses/business-enterprise-development-bsc/september-2024
Aston University,Economics,Economics and Management,BSc,https://www.aston.ac.uk/study/courses/economics-and-management-bsc/september-2024
Aston University,Economics,Economics and Politics,BSc,https://www.aston.ac.uk/study/courses/economics-and-politics-bsc/september-2024
Aston University,Economics,Economics,BSc,https://www.aston.ac.uk/study/courses/economics-bsc/september-2024
Aston University,Accounting and Finance,Finance,BSc,https://www.aston.ac.uk/study/courses/finance-bsc/september-2024
Aston University,International Relations,History and International Relations,BSc,https://www.aston.ac.uk/study/courses/history-and-international-relations-bsc/september-2024
Aston University,Politics,History and Politics,BSc,https://www.aston.ac.uk/study/courses/history-and-politics-bsc/september-2024
Aston University,Business and Management,Human Resources and Business Management,BSc,https://www.aston.ac.uk/study/courses/human-resources-and-business-management-bsc/september-2024
Aston University,Business and Management,International Business and Economics,BSc,https://www.aston.ac.uk/study/courses/international-business-and-economics-bsc/september-2024
Aston University,Business and Management,International Business and Management,BSc,https://www.aston.ac.uk/study/courses/international-business-and-management-bsc/september-2024
Aston University,Development Studies,International Development Management,BSc,https://www.aston.ac.uk/study/courses/international-development-management-bsc/september-2024
Aston University,International Relations,International Relations and Sociology,BSc,https://www.aston.ac.uk/study/courses/international-relations-and-sociology-bsc/september-2024
Aston University,Marketing,Marketing,BSc,https://www.aston.ac.uk/study/courses/marketing-bsc/september-2024
Aston University,Politics,Politics and Sociology,BSc,https://www.aston.ac.uk/study/courses/politics-and-sociology-bsc
Aston University,International Relations,Politics with International Relations,BSc,https://www.aston.ac.uk/study/courses/politics-international-relations-bsc/september-2024
Aston University,Health Professions,Healthcare Science Audiology,BSc,https://www.aston.ac.uk/study/courses/healthcare-science-audiology-bsc
Aston University,Education,Nursing Studies (Registered Nurse Adult Nursing),BSc,https://www.aston.ac.uk/study/courses/nursing-studies-registered-nurse-adult-nursing-bsc
Aston University,Psychology,Psychology,BSc,https://www.aston.ac.uk/study/courses/psychology-bsc/september-2024
Aston University,Computer Science,Computer Science,BSc,https://www.aston.ac.uk/study/courses/computer-science-bsc/september-2024
Aston University,Mathematics,Mathematics,BSc,https://www.aston.ac.uk/study/courses/mathematics-bsc/september-2024
Aston University,Product Design,Product Design And Innovation,BSc,https://www.aston.ac.uk/study/courses/product-design-and-management-bsc/september-2024
