uniName,programmeName,courseName,degreeName,courseUrlExternal
Birmingham City University,Business and Management,Business Administration (Top-Up),BA,https://www.bcu.ac.uk/courses/business-admin-top-up-2025-26
Birmingham City University,Accounting and Finance,International Finance (Top-Up),BA,https://www.bcu.ac.uk/courses/international-finance-top-up-ba-hons-2025-26
Birmingham City University,Marketing,International Marketing (Top-Up),BA,https://www.bcu.ac.uk/courses/international-marketing-ba-hons-2025-26
Birmingham City University,Business and Management,International Business (Top-Up),BA,https://www.bcu.ac.uk/courses/international-business-ba-hons-2025-26
Birmingham City University,Marketing,Digital Marketing,BA,https://www.bcu.ac.uk/courses/digital-marketing-ba-hons-2025-26
Birmingham City University,Music,Popular Music,BA,https://www.bcu.ac.uk/courses/popular-music-ba-hons-2025-26
Birmingham City University,Business and Management,Music Business,BA,https://www.bcu.ac.uk/courses/music-business-ba-hons-2025-26
Birmingham City University,Fashion and Textiles,Fashion Communication,BA,https://www.bcu.ac.uk/courses/fashion-communication-ba-hons-2025-26
Birmingham City University,Product Design,Product Design,BA,https://www.bcu.ac.uk/courses/product-design-ba-hons-2025-26
Birmingham City University,Business and Management,Business Management,BA,https://www.bcu.ac.uk/courses/business-management-ba-hons-2025-26
Birmingham City University,Creative Writing,English and Creative Writing,BA,https://www.bcu.ac.uk/courses/english-and-creative-writing-ba-hons-2025-26
Birmingham City University,Journalism,English and Journalism,BA,https://www.bcu.ac.uk/courses/english-and-journalism-ba-hons-2025-26
Birmingham City University,English Literature,English Literature,BA,https://www.bcu.ac.uk/courses/english-literature-ba-hons-2025-26
Birmingham City University,"Hospitality, Event Management and Tourism",Events Management,BA,https://www.bcu.ac.uk/courses/events-management-ba-hons-2025-26
Birmingham City University,Fine Art,Fine Art,BA,https://www.bcu.ac.uk/courses/fine-art-ba-hons-2025-26
Birmingham City University,Journalism,Journalism,BA,https://www.bcu.ac.uk/courses/journalism-ba-hons-2025-26
Birmingham City University,Marketing,Marketing,BA,https://www.bcu.ac.uk/courses/marketing-ba-hons-2025-26
