uniName,programmeName,courseName,degreeName,courseUrlExternal
Brunel University London,Creative Writing,English with Creative Writing,BA,https://www.brunel.ac.uk/study/undergraduate/english-with-creative-writing-ba
Brunel University London,Education,Film and Television Studies and English,BA,https://www.brunel.ac.uk/study/undergraduate/film-and-television-studies-and-english-ba
Brunel University London,Education,Film and Television Studies,BA,https://www.brunel.ac.uk/study/undergraduate/film-and-television-studies-ba
Brunel University London,Film Production,Film Production and Theatre,BA,https://www.brunel.ac.uk/study/undergraduate/film-production-and-theatre-ba
Brunel University London,Film Production,Film Production,BA,https://www.brunel.ac.uk/study/undergraduate/film-production-ba
Brunel University London,Health Professions,Global Challenges (Planetary Health),BA,https://www.brunel.ac.uk/study/undergraduate/global-challenges-planetary-health-basc
Brunel University London,International Relations,History and International Relations,BA,https://www.brunel.ac.uk/study/undergraduate/history-and-international-relations-ba
Brunel University London,Journalism,Journalism (Communication),BA,https://www.brunel.ac.uk/study/undergraduate/journalism-communication-ba
Brunel University London,Journalism,Journalism (Politics),BA,https://www.brunel.ac.uk/study/undergraduate/journalism-politics-ba
Brunel University London,Music,Music (Production),BA,https://www.brunel.ac.uk/study/undergraduate/music-production-ba
Brunel University London,Music,Music,BA,https://www.brunel.ac.uk/study/undergraduate/music-ba
Brunel University London,Creative Writing,Theatre and Creative Writing,BA,https://www.brunel.ac.uk/study/undergraduate/theatre-and-creative-writing-ba
Brunel University London,Creative Writing,Games Design and Creative Writing,BA,https://www.brunel.ac.uk/study/undergraduate/games-design-and-creative-writing-ba
Brunel University London,Creative Writing,Creative Writing (with Placement Year),BA,https://www.brunel.ac.uk/study/undergraduate/creative-writing-ba
Brunel University London,Electrical Engineering,Electronic Engineering (Top-Up),BEng,https://www.brunel.ac.uk/study/undergraduate/electronic-engineering-beng-top-up
Brunel University London,Business and Management,Engineering with Business,BEng,https://www.brunel.ac.uk/study/courses/engineering-with-business-beng
Brunel University London,Aerospace Engineering,Aerospace Engineering,BEng,https://www.brunel.ac.uk/study/undergraduate/aerospace-engineering-beng
Brunel University London,Chemical Engineering,Chemical Engineering,BEng,https://www.brunel.ac.uk/study/undergraduate/chemical-engineering-beng
Brunel University London,Civil Engineering,Civil Engineering (Environmental Engineering),BEng,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-environmental-engineering-beng
Brunel University London,Civil Engineering,Civil Engineering,BEng,https://www.brunel.ac.uk/study/undergraduate/civil-engineering-beng
Brunel University London,Computer Science,Computer Systems Engineering,BEng,https://www.brunel.ac.uk/study/undergraduate/computer-systems-engineering-beng
Brunel University London,Computer Science,Electronic and Electrical Engineering (Artificial Intelligence),BEng,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-artificial-intelligence-beng
Brunel University London,Electrical Engineering,Electronic and Electrical Engineering (Communication Systems),BEng,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-communication-systems-beng
Brunel University London,Computer Science,Electronic and Electrical Engineering (Computer Systems),BEng,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-computer-systems-beng
Brunel University London,Electrical Engineering,Electronic and Electrical Engineering (Energy Systems),BEng,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-energy-systems-beng
Brunel University London,Electrical Engineering,Electronic and Electrical Engineering,BEng,https://www.brunel.ac.uk/study/undergraduate/electronic-and-electrical-engineering-beng
Brunel University London,Mechanical Engineering,Mechanical Engineering,BEng,https://www.brunel.ac.uk/study/undergraduate/mechanical-engineering-beng
Brunel University London,Aerospace Engineering,Aerospace Engineering (with Placement),BEng,https://www.brunel.ac.uk/study/courses/aerospace-engineering-beng
Brunel University London,Business and Management,Digital Business Analytics,BSc,https://www.brunel.ac.uk/study/courses/digital-business-analytics-bsc
Brunel University London,Computer Science,Computer Science (Cybersecurity),BSc,https://www.brunel.ac.uk/study/undergraduate/computer-science-cybersecurity-bsc
Brunel University London,Accounting and Finance,Accountancy,BSc,https://www.brunel.ac.uk/study/undergraduate/accountancy-bsc
Brunel University London,Accounting and Finance,Banking and Finance,BSc,https://www.brunel.ac.uk/study/undergraduate/banking-and-finance-bsc
Brunel University London,Business and Management,Business Computing (eBusiness),BSc,https://www.brunel.ac.uk/study/undergraduate/business-computing-ebusiness-bsc
Brunel University London,Business and Management,Business Computing (Human Computer Interaction),BSc,https://www.brunel.ac.uk/study/undergraduate/business-computing-human-computer-interaction-bsc
Brunel University London,Business and Management,Business Computing (Social Media),BSc,https://www.brunel.ac.uk/study/undergraduate/business-computing-social-media-bsc
Brunel University London,Business and Management,Business Computing,BSc,https://www.brunel.ac.uk/study/undergraduate/business-computing-bsc
Brunel University London,Computer Science,Computer Science (Artificial Intelligence),BSc,https://www.brunel.ac.uk/study/undergraduate/computer-science-artificial-intelligence-bsc
Brunel University London,Computer Science,Computer Science (Digital Media and Games),BSc,https://www.brunel.ac.uk/study/undergraduate/computer-science-digital-media-and-games-bsc
Brunel University London,Computer Science,Computer Science (Network Computing),BSc,https://www.brunel.ac.uk/study/undergraduate/computer-science-network-computing-bsc
Brunel University London,Computer Science,Computer Science (Software Engineering),BSc,https://www.brunel.ac.uk/study/undergraduate/computer-science-software-engineering-bsc
