uniName,programmeName,courseName,degreeName,courseUrlExternal
Buckinghamshire New University,Drama and Dance,Dance (Top-Up),BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-dance-top
Buckinghamshire New University,Fashion and Textiles,Fashion Design (Top-Up),BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-fashion-design-top
Buckinghamshire New University,Health Professions,Integrated Health and Social Care (Top-Up),BA,https://www.bucks.ac.uk/courses/professional/ba-hons-integrated-health-and-social-care-top
Buckinghamshire New University,Fashion and Textiles,Textile Design (Top-Up),BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-textile-design-top
Buckinghamshire New University,"Hospitality, Event Management and Tourism",International Hospitality Management,BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-international-hospitality-management
Buckinghamshire New University,Music,Musical Theatre (Top-Up),BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-musical-theatre-top
Buckinghamshire New University,Computer Science,"Hair, Make-up and Prosthetics for Film and Performance",BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-hair-make-and-prosthetics-film-and-performance
Buckinghamshire New University,Film Production,SFX Props and Modelmaking for Film and TV,BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-sfx-props-and-modelmaking-film-and-tv
Buckinghamshire New University,Fine Art,Fine Art,BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-fine-art
Buckinghamshire New University,Product Design,Product and Furniture Design,BA,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-product-and-furniture-design
Buckinghamshire New University,Hotel Management,Hotel Management,BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-hotel-management
Buckinghamshire New University,Accounting and Finance,Finance and Business,BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-finance-and-business
Buckinghamshire New University,Business and Management,Business Management,BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-business-management
Buckinghamshire New University,Animation,Animation (Online),BA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-animation-online
Buckinghamshire New University,Civil Engineering,Civil Engineering,BEng,https://www.bucks.ac.uk/courses/undergraduate/beng-hons-civil-engineering
Buckinghamshire New University,Health Professions,Professional Practice in Healthcare,BSc,https://www.bucks.ac.uk/courses/professional/bsc-hons-professional-practice-healthcare
Buckinghamshire New University,Nursing,Adult Nursing,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-adult-nursing
Buckinghamshire New University,Computer Science,Computer Science,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-computer-science
Buckinghamshire New University,Computer Science,Cyber Security,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-cyber-security
Buckinghamshire New University,Midwifery,Midwifery,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-midwifery
Buckinghamshire New University,Paramedic Science,Paramedic Science,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-paramedic-science
Buckinghamshire New University,Computer Science,Aviation Management with Commercial Pilot Training,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-aviation-management-commercial-pilot-training-aeroplanes
Buckinghamshire New University,Computer Science,Computer Science with Artificial Intelligence,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-computer-science-artificial-intelligence
Buckinghamshire New University,Health Professions,Mental Health Nursing,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-mental-health-nursing
Buckinghamshire New University,Other,Physiotherapy,BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-physiotherapy
Buckinghamshire New University,Nursing,Adult Nursing (with Foundation Year),BSc,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-nursing-adult-nmc-registration
Buckinghamshire New University,Health Professions,Health and Social Care,FDA,https://www.bucks.ac.uk/courses/foundation/fda-health-and-social-care
Buckinghamshire New University,Animation,Animation,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-animation
Buckinghamshire New University,Management,Aviation Management,FDA,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-aviation-management
Buckinghamshire New University,Development Studies,Computer Games Development,FDA,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-computer-games-development
Buckinghamshire New University,Criminology,Criminology,FDA,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-criminology
Buckinghamshire New University,Drama and Dance,Dance,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-dance
Buckinghamshire New University,"Hospitality, Event Management and Tourism",Events Management,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-events-management
Buckinghamshire New University,Fashion and Textiles,Fashion and Textiles,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-fashion-and-textiles
Buckinghamshire New University,Fashion and Textiles,Fashion Design,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-fashion-design
Buckinghamshire New University,Fashion and Textiles,Fashion Promotion and Communication,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-fashion-promotion-and-communication
Buckinghamshire New University,Film Production,Film Production,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-film-production
Buckinghamshire New University,Graphic Design,Graphic Design,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-graphic-design2024-06-30
Buckinghamshire New University,Health Professions,Health and Social Science,FDA,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-health-and-social-science
Buckinghamshire New University,"Hospitality, Event Management and Tourism",International Tourism Management with Air Travel,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-international-tourism-management-air-travel
Buckinghamshire New University,Business and Management,International Business Studies,FDA,https://www.bucks.ac.uk/courses/undergraduate/bsc-hons-international-business-studies
Buckinghamshire New University,Law,Law,FDA,https://www.bucks.ac.uk/courses/undergraduate/llb-hons-law
Buckinghamshire New University,Marketing,Marketing,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-marketing
Buckinghamshire New University,Product Design,Media Production,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-media-production
Buckinghamshire New University,Business and Management,Music Business,FDA,https://www.bucks.ac.uk/courses/undergraduate/ba-hons-music-business
