uniName,programmeName,courseName,degreeName,courseUrlExternal
Canterbury Christ Church University,Creative Writing,Creative Writing,BA,https://www.canterbury.ac.uk/study-here/courses/creative-writing
Canterbury Christ Church University,Graphic Design,Graphic Design,BA,https://www.canterbury.ac.uk/study-here/courses/graphic-design
Canterbury Christ Church University,Product Design,Media Production,BA,https://www.canterbury.ac.uk/study-here/courses/media-production
Canterbury Christ Church University,Music,Music Production,BA,https://www.canterbury.ac.uk/study-here/courses/music-production
Canterbury Christ Church University,Music,Popular Music,BA,https://www.canterbury.ac.uk/study-here/courses/popular-music
Canterbury Christ Church University,Chemical Engineering,Chemical Engineering (3 Years),BEng,https://canterbury.ac.uk/study-here/courses/chemical-engineering-beng
Canterbury Christ Church University,General Engineering,Architectural Engineering,BEng,https://www.canterbury.ac.uk/study-here/courses/architectural-engineering
Canterbury Christ Church University,Business and Management,Business Economics,BSc,https://www.canterbury.ac.uk/study-here/courses/business-economics
Canterbury Christ Church University,Business and Management,Business Information Technology,BSc,https://www.canterbury.ac.uk/study-here/courses/business-information-technology
Canterbury Christ Church University,Computer Science,Computer Science & Artificial Intelligence,BSc,https://www.canterbury.ac.uk/study-here/courses/computer-science-and-artificial-intelligence
Canterbury Christ Church University,Criminology,Criminology and Psychology,BSc,https://www.canterbury.ac.uk/study-here/courses/criminology-psychology
Canterbury Christ Church University,Computer Science,Cyber Security & Computer Forensics,BSc,https://www.canterbury.ac.uk/study-here/courses/computer-security-and-computer-forensics
Canterbury Christ Church University,Dentistry,Dental Hygiene & Dental Therapy,BSc,https://www.canterbury.ac.uk/study-here/courses/dental-hygiene-dental-therapy
Canterbury Christ Church University,Accounting and Finance,Finance & Investment,BSc,https://www.canterbury.ac.uk/study-here/courses/finance-and-investment
Canterbury Christ Church University,Education,Psychology with Education Studies,BSc,https://www.canterbury.ac.uk/study-here/courses/psychology-with-education-studies
Canterbury Christ Church University,Development Studies,Sport Coaching and Development,BSc,https://www.canterbury.ac.uk/study-here/courses/sport-coaching-and-development
Canterbury Christ Church University,Chemistry,Biochemistry,BSc,https://www.canterbury.ac.uk/study-here/courses/biochemistry
Canterbury Christ Church University,Psychology,Psychology,BSc,https://www.canterbury.ac.uk/study-here/courses/psychology
Canterbury Christ Church University,Psychology,Psychology (Clinical & Forensic),BSc,https://www.canterbury.ac.uk/study-here/courses/psychology-clinical-forensic
Canterbury Christ Church University,Midwifery,Midwifery,BSc,https://www.canterbury.ac.uk/study-here/courses/midwifery
