uniName,programmeName,courseName,degreeName,courseUrlExternal
Cardiff Metropolitan University,Business and Management,Global Business Management (Top-Up),BA,https://www.cardiffmet.ac.uk/management/courses/Pages/Global-Business-Management-(Top-Up)---BA-(Hons).aspx
Cardiff Metropolitan University,Animation,Animation,BA,https://www.cardiffmet.ac.uk/artanddesign/courses/Pages/BA-Animation.aspx
Cardiff Metropolitan University,Architecture,Architecture,BA,https://www.cardiffmet.ac.uk/artanddesign/courses/Pages/Architecture-BA-(Hons).aspx
Cardiff Metropolitan University,Creative Writing,English and Creative Writing,BA,https://www.cardiffmet.ac.uk/education/courses/Pages/BA-English-and-Creative-Writing.aspx
Cardiff Metropolitan University,Fine Art,Fine Art,BA,https://www.cardiffmet.ac.uk/artanddesign/courses/Pages/bafineart.aspx
Cardiff Metropolitan University,Interior Design,Interior Design,BA,https://www.cardiffmet.ac.uk/artanddesign/courses/Pages/ba-interior-design.aspx
Cardiff Metropolitan University,Product Design,Product Design,BA,https://www.cardiffmet.ac.uk/artanddesign/courses/Pages/babscproductdesign.aspx
Cardiff Metropolitan University,Architecture,Interior Architecture (with Placement Year),BA,https://www.cardiffmet.ac.uk/artanddesign/courses/Pages/BA-Interior-Architecture.aspx
Cardiff Metropolitan University,Accounting and Finance,International Accounting and Finance (Top-Up),BSc,https://www.cardiffmet.ac.uk/management/courses/Pages/International-Accounting-and-Finance-BSc-(Hons)-Degree-(Top-up).aspx
Cardiff Metropolitan University,Accounting and Finance,International Banking and Finance (Top-Up),BSc,https://www.cardiffmet.ac.uk/management/courses/Pages/International-Banking-and-Finance-BSc-(Hons)-Degree-(Top-up).aspx
Cardiff Metropolitan University,Sports Science,Sport (Top-Up Year),BSc,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Sport-TopUp-BSc-Hons.aspx
Cardiff Metropolitan University,Sports Science,Sport & Exercise Science (Intercalated),BSc,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Sport-and-Exercise-Science-(Intercalated)-BSc-(Hons).aspx
Cardiff Metropolitan University,Computer Science,Computer and Data Science,BSc,https://www.cardiffmet.ac.uk/technologies/courses/Pages/bsc-data-science.aspx
Cardiff Metropolitan University,Computer Science,Computer Science,BSc,https://www.cardiffmet.ac.uk/technologies/courses/Pages/Computer-Science-BSc-(Hons).aspx
Cardiff Metropolitan University,Computer Science,Computer Security,BSc,https://www.cardiffmet.ac.uk/technologies/courses/Pages/bsc-computer-security-degree.aspx
Cardiff Metropolitan University,Computer Science,Computing with Creative Design,BSc,https://www.cardiffmet.ac.uk/technologies/courses/Pages/bsc-computing-with-creative-design.aspx
Cardiff Metropolitan University,General Engineering,Software Engineering,BSc,https://www.cardiffmet.ac.uk/courses/undergraduate/bsc-software-engineering/
Cardiff Metropolitan University,Management,Sport Management,BSc,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Sport-Management-BSc-(Hons).aspx
Cardiff Metropolitan University,General Engineering,Engineering and Computer Science,FDA,https://www.cardiffmet.ac.uk/technologies/courses/Pages/Foundation-Engineering-and-Computer-Science.aspx
Cardiff Metropolitan University,Health Professions,Health Sciences,FDA,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Foundation-leading-to-BSc-Health-Sciences.aspx
Cardiff Metropolitan University,Management,Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/International-Foundation-Management.aspx
Cardiff Metropolitan University,Accounting and Finance,Accounting,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Accounting-BA-(Hons).aspx
Cardiff Metropolitan University,Accounting and Finance,Accounting & Economics,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Accounting-and-Economics-BA-(Hons)-Degree.aspx
Cardiff Metropolitan University,Accounting and Finance,Accounting & Finance,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Accounting-and-Finance-BA-(Hons).aspx
Cardiff Metropolitan University,Management,Advertising and Marketing Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Advertising-and-Marketing-Management-BA-(Hons)-Degree.aspx
Cardiff Metropolitan University,Management,Aviation Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Aviation-Management-BA-(Hons)-Degree.aspx
Cardiff Metropolitan University,Accounting and Finance,Banking and Finance,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Banking-and-Finance-BSc-(Hons)-Degree.aspx
Cardiff Metropolitan University,Biomedical Science,Biomedical Science,FDA,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Biomedical-Science-BSc-(Hons).aspx
Cardiff Metropolitan University,Biomedical Science,"Biomedical Science (Health, Exercise & Nutrition)",FDA,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Biomedical-Sciences-Health-Exercise-Nutrition-BSc-Hons.aspx
Cardiff Metropolitan University,Management,Brand and Marketing Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Brand-and-Marketing-Management%E2%80%93BA-(Hons)-Degree.aspx
Cardiff Metropolitan University,Business and Management,Business and Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Business-and-Management-(with-specialist-pathways)-BA-(Hons).aspx
Cardiff Metropolitan University,Business and Management,Business Information Systems,FDA,https://www.cardiffmet.ac.uk/technologies/courses/Pages/Business-Information-Systems-BSc-(Hons).aspx
Cardiff Metropolitan University,Business and Management,Business Law and Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Business-Law-and-Management-BA-(Hons)-Degree.aspx
Cardiff Metropolitan University,Development Studies,Computer Games Design & Development,FDA,https://www.cardiffmet.ac.uk/technologies/courses/Pages/Computer-Games-Design-and-Development-BSc-(Hons).aspx
Cardiff Metropolitan University,Criminology,Criminology,FDA,https://www.cardiffmet.ac.uk/education/courses/Pages/Criminology-BSc-(Hons)-Degree.aspx
Cardiff Metropolitan University,Dentistry,Dental Technology,FDA,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Dental-Technology-BSc-(Hons).aspx
Cardiff Metropolitan University,Management,Digital Marketing Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Digital-Marketing-BA-(Hons)-Degree.aspx
Cardiff Metropolitan University,Economics,Economics,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Economics-BSc-(Hons).aspx
Cardiff Metropolitan University,Education,"Education, Psychology and Special Educational Needs",FDA,https://www.cardiffmet.ac.uk/education/courses/Pages/BSc-(Hons)-Education-Psychology-and-Special-Educational-Needs-.aspx
Cardiff Metropolitan University,Health Professions,Environmental Health (Health Sciences),FDA,https://www.cardiffmet.ac.uk/sportandhealthsciences/courses/Pages/Environmental-Health-BSc-(Hons).aspx
Cardiff Metropolitan University,"Hospitality, Event Management and Tourism",Events Management,FDA,https://www.cardiffmet.ac.uk/management/courses/Pages/Events-Management-BA-(Hons).aspx
