uniName,programmeName,courseName,degreeName,courseUrlExternal
Edinburgh Napier University,Accounting and Finance,Business Management with Finance,BA,https://www.napier.ac.uk/courses/ba-business-management-with-finance-online-undergraduate-online-learning
Edinburgh Napier University,Business and Management,Business Management with Sustainability (with Placement Year),BA,https://www.napier.ac.uk/courses/ba-business-management-with-sustainability-undergraduate-online-learning
Edinburgh Napier University,Business and Management,Business & Enterprise (Top-Up),BA,https://www.napier.ac.uk/courses/ba-business-and-enterprise-online-undergraduate-online-learning
Edinburgh Napier University,Management,Marketing Management (Top-Up),BA,https://www.napier.ac.uk/courses/ba-marketing-management-undergraduate-online-learning
Edinburgh Napier University,Business and Management,Business Management (West Lothian College),BA,https://www.napier.ac.uk/courses/ba-business-management-west-lothian-college-undergraduate-fulltime
Edinburgh Napier University,Management,Human Resource Management with Organisational Psychology,BA,https://www.napier.ac.uk/courses/ba-human-resource-management-with-organisational-psychology-undergraduate-parttime
Edinburgh Napier University,Business and Management,Business Management (Top-Up),BA,https://www.napier.ac.uk/courses/ba-business-management-ba-topup-undergraduate-online-learning
Edinburgh Napier University,Accounting and Finance,Accounting,BA,https://www.napier.ac.uk/courses/ba-hons-accounting-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Business Management with Entrepreneurship (with Study Abroad),BA,https://www.napier.ac.uk/courses/ba-hons-business-management-with-entrepreneurship-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Intercultural Business Communication and Marketing Management,BA,https://www.napier.ac.uk/courses/ba-hons-intercultural-business-communication-and-marketing-management-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Intercultural Business Communication and Tourism Management (with Study Abroad),BA,https://www.napier.ac.uk/courses/ba-hons-intercultural-business-communication-and-tourism-management-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Business Management with Marketing (Top-Up),BA,https://www.napier.ac.uk/courses/ba-business-management-with-marketing-online-undergraduate-online-learning
Edinburgh Napier University,Accounting and Finance,Accounting & Finance,BA,https://www.napier.ac.uk/courses/ba-hons-accounting-and-finance-undergraduate-fulltime
Edinburgh Napier University,Accounting and Finance,Accounting With Corporate Finance,BA,https://www.napier.ac.uk/courses/ba-hons-accounting-with-corporate-finance-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Business Management,BA,https://www.napier.ac.uk/courses/baba-hons-business-management-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Business Management with Human Resource Management,BA,https://www.napier.ac.uk/courses/ba-hons-business-management-with-human-resource-management-undergraduate-fulltime
Edinburgh Napier University,Business and Management,Business Management with Marketing,BA,https://www.napier.ac.uk/courses/ba-hons-business-management-with-marketing-undergraduate-fulltime
Edinburgh Napier University,Criminology,Criminology,BA,https://www.napier.ac.uk/courses/ba-hons-criminology-undergraduate-fulltime
Edinburgh Napier University,Accounting and Finance,Financial Services,BA,https://www.napier.ac.uk/courses/ba-hons-financial-services-undergraduate-fulltime
Edinburgh Napier University,Business and Management,International Business Management,BA,https://www.napier.ac.uk/courses/ba-hons-international-business-management-undergraduate-fulltime
Edinburgh Napier University,"Hospitality, Event Management and Tourism",International Festival & Event Management,BA,https://www.napier.ac.uk/courses/ba-hons-international-festival--event-management-undergraduate-fulltime
Edinburgh Napier University,"Hospitality, Event Management and Tourism",International Hospitality Management,BA,https://www.napier.ac.uk/courses/ba-hons-international-hospitality-management-undergraduate-fulltime
Edinburgh Napier University,"Hospitality, Event Management and Tourism",International Hospitality Management & Festival & Event,BA,https://www.napier.ac.uk/courses/ba-hons-international-hospitality-management-and-festival--event-undergraduate-fulltime
Edinburgh Napier University,Computer Science,International Tourism & Airline Management,BA,https://www.napier.ac.uk/courses/ba-hons-international-tourism-and-airline-management-undergraduate-fulltime
Edinburgh Napier University,"Hospitality, Event Management and Tourism",International Tourism Management,BA,https://www.napier.ac.uk/courses/ba-hons-international-tourism-management-undergraduate-fulltime
Edinburgh Napier University,Management,Marketing Management,BA,https://www.napier.ac.uk/courses/ba-hons-marketing-management-undergraduate-fulltime
Edinburgh Napier University,Marketing,Marketing with Digital Media,BA,https://www.napier.ac.uk/courses/ba-hons-marketing-with-digital-media-undergraduate-fulltime
Edinburgh Napier University,Psychology,Psychology with Sociology,BA,https://www.napier.ac.uk/courses/ba-hons-psychology-with-sociology-undergraduate-fulltime
Edinburgh Napier University,Film Production,Film,BA,https://www.napier.ac.uk/courses/ba-hons-film-undergraduate-fulltime
Edinburgh Napier University,Music,Music,BA,https://www.napier.ac.uk/courses/ba-hons-music-undergraduate-fulltime
Edinburgh Napier University,Graphic Design,Graphic Design,BDes,https://www.napier.ac.uk/courses/bdes-hons-graphic-design-undergraduate-fulltime
Edinburgh Napier University,Product Design,Product Design,BDes,https://www.napier.ac.uk/courses/bdes-hons-product-design-undergraduate-fulltime
Edinburgh Napier University,Computer Science,Cybersecurity & Forensics,BEng,https://www.napier.ac.uk/courses/beng-hons-cybersecurity-and-forensics-undergraduate-fulltime
Edinburgh Napier University,General Engineering,Civil Engineering (with Work Placement),BEng,https://www.napier.ac.uk/courses/bengbeng-hons-civil-engineering-undergraduate-fulltime
Edinburgh Napier University,Computer Science,Network Engineering and Cyber Security,BEng,https://www.napier.ac.uk/courses/beng-hons-network-engineering-and-cyber-security-undergraduate-fulltime
Edinburgh Napier University,Computer Science,Network Engineering and Cyber Security (with Work Placement),BEng,https://www.napier.ac.uk/courses/beng-hons-computer-systems-and-networks-undergraduate-fulltime
Edinburgh Napier University,Computer Science,Computing,BEng,https://www.napier.ac.uk/courses/bengbeng-hons-computing-undergraduate-fulltime
Edinburgh Napier University,Electrical Engineering,Electrical and Electronic Engineering,BEng,https://www.napier.ac.uk/courses/bengbeng-(hons)-electrical-and-electronic-engineering-undergraduate-fulltime
Edinburgh Napier University,General Engineering,Energy & Environmental Engineering,BEng,https://www.napier.ac.uk/courses/bengbeng-hons-energy-and-environmental-engineering-undergraduate-fulltime
Edinburgh Napier University,General Engineering,Mechanical Engineering,BEng,https://www.napier.ac.uk/courses/bengbeng-hons-mechanical-engineering-undergraduate-fulltime
Edinburgh Napier University,General Engineering,Software Engineering,BEng,https://www.napier.ac.uk/courses/bengbeng-hons-software-engineering-undergraduate-fulltime
Edinburgh Napier University,Nursing,Nursing (Adult),BNurs,https://www.napier.ac.uk/courses/bn-nursing-adult-undergraduate-fulltime
Edinburgh Napier University,Computer Science,Computing (Online),BSc,https://www.napier.ac.uk/courses/bsc-bsc-computing-global-online-topup-ft-undergraduate-online-learning
Edinburgh Napier University,Education,Nursing Studies (Top-Up),BSc,https://www.napier.ac.uk/courses/bsc-nursing-studies-global-online-undergraduate-online-learning
