uniName,programmeName,courseName,degreeName,courseUrlExternal
Keele University,Business and Management,Business and Management (Top-up),BA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessandmanagementtop-up/
Keele University,Business and Management,Music Production with Business Management,BA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/musicproductionwithbusinessmanagement/
Keele University,Education,English and Film Studies,BA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/englishandfilmstudies/
Keele University,General Engineering,Engineering (with Foundation Year),BEng,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/engineering/
Keele University,Education,Nursing Studies (Top-Up),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/nursingstudies/
Keele University,Computer Science,Computing (Top Up),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computing-top-up/
Keele University,Computer Science,Neuroscience with Artificial Intelligence,BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/neurosciencewithai/
Keele University,Computer Science,Computer Science,BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computerscience/
Keele University,Computer Science,Computer Science (Artificial Intelligence),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computerscienceartificialintelligence/
Keele University,Computer Science,Computer Science (Cyber Security),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computersciencecybersecurity/
Keele University,Computer Science,Computer Science (Digital Forensics),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computersciencedigitalforensics/
Keele University,Computer Science,Computer Science (Games),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computersciencegames/
Keele University,Computer Science,Data Science,BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/datascience/
Keele University,Computer Science,Computer Science and Mathematics (with Study Abroad),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computerscienceandmathematics/
Keele University,Mathematics,Mathematics (Applied Mathematics) (with study Abroad),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mathematicsappliedmathematics/
Keele University,Mathematics,Mathematics (Pure Mathematics) (with Study Abroad),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mathematicspuremathematics/
Keele University,Mathematics,Mathematics (with Statistics) (with Study  Abroad),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mathematicswithstatistics/
Keele University,Mathematics,Mathematics (with study Abroad),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mathematics/
Keele University,Biology,Psychology with Human Biology (with Placement Year),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/humanbiologyandpsychology/
Keele University,Psychology,Psychology with Placement Year (with Foundation Year),BSc,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/psychologywithplacementyear/
Keele University,History,English and History,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/englishandhistory/
Keele University,Business and Management,Business Management and Music Production,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagementandmusicproduction/
Keele University,Business and Management,Business Management with International Tourism,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagementwithinternationaltourism/
Keele University,Geography,Geography (Physical),FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/geographyphysical/
Keele University,Accounting and Finance,Banking and Finance,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/bankingandfinance/
Keele University,Chemical Engineering,Chemical Engineering,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/chemicalengineering/
Keele University,Civil Engineering,Civil Engineering,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/civilengineering/
Keele University,Marketing,Digital Media and Marketing,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/digitalmediaandmarketing/
Keele University,Music,Digital Media and Music Production,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/digitalmediaandmusicproduction/
Keele University,Electrical Engineering,Electrical and Electronic Engineering,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/electricalandelectronicengineering/
Keele University,Philosophy,English and Philosophy,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/englishandphilosophy/
Keele University,General Engineering,Mechanical Engineering,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mechanicalengineering/
Keele University,General Engineering,Mechatronic Engineering,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mechatronicengineering/
Keele University,Zoology,Zoology,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/zoology/
Keele University,Accounting and Finance,Accounting and Finance,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/accountingandfinance/
Keele University,Accounting and Finance,Accounting with Business Analytics,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/accountingwithbusinessanalytics/
Keele University,Chemistry,Biochemistry,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/biochemistry/
Keele University,Chemistry,Biochemistry with Neuroscience,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/biochemistrywithneuroscience/
Keele University,General Engineering,Bioengineering (Regenerative Medicine),FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/bioengineeringregenerativemedicine/
Keele University,Biology,Biology,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/biology/
Keele University,Biomedical Science,Biomedical Science,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/biomedicalscience/
Keele University,Veterinary Science,Bioveterinary Science,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/bioveterinaryscience/
Keele University,Business and Management,Business Management,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagement/
Keele University,Accounting and Finance,Business Management and Accounting,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagementandaccounting/
Keele University,Business and Management,Business Management and Economics,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagementandeconomics/
Keele University,Accounting and Finance,Business Management and Finance,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagementandfinance/
Keele University,Business and Management,Business Management and Marketing,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businessmanagementandmarketing/
Keele University,Business and Management,Media with Business Management,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/mediawithbusinessmanagement/
Keele University,Business and Management,Business Psychology,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/businesspsychology/
Keele University,Chemistry,Chemistry with Integrated,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/chemistrywithintegratedmasters/
Keele University,Chemistry,Chemistry with Medicinal Chemistry,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/chemistrywithmedicinalchemistry/
Keele University,Chemistry,Chemistry with Medicinal Chemistry with Integrated,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/chemistrywithmedicinalchemistrywithintegratedmasters/
Keele University,General Engineering,Computer Science (Software Engineering),FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computersciencesoftwareengineering/
Keele University,Music,Computer Science and Music Production,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/computerscienceandmusicproduction/
Keele University,Creative Writing,Creative Writing,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/creativewriting/
Keele University,Criminology,Criminology,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/criminology/
Keele University,Criminology,Criminology and Criminal Justice,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/criminologyandcriminaljustice/
Keele University,Criminology,Criminology and History,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/criminologyandhistory/
Keele University,Criminology,Criminology and Sociology,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/criminologyandsociology/
Keele University,Economics,Economics,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/economics/
Keele University,Accounting and Finance,Economics and Finance,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/economicsandfinance/
Keele University,Education,Education,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/education/
Keele University,Education,Education and English,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/educationandenglish/
Keele University,Education,History and Education,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/historyandeducation/
Keele University,Education,Philosophy and Education,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/philosophyandeducation/
Keele University,Education,Education and Sociology,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/educationandsociology/
Keele University,English Literature,English Literature and Philosophy,FDA,https://www.keele.ac.uk/study/undergraduate/undergraduatecourses/englishliteratureandphilosophy/
