uniName,programmeName,courseName,degreeName,courseUrlExternal
Kingston University,Marketing,Creative and Cultural Industries Design Marketing,BA,https://www.kingston.ac.uk/undergraduate/courses/creative-and-cultural-industries-design-marketing/
Kingston University,"Hospitality, Event Management and Tourism",Creative and Cultural Industries Events and Experiences,BA,https://www.kingston.ac.uk/undergraduate/courses/creative-and-cultural-industries-events-experiences-design/
Kingston University,Drama and Dance,Dance,BA,https://www.kingston.ac.uk/undergraduate/courses/dance/
Kingston University,Drama and Dance,Dance and Drama,BA,https://www.kingston.ac.uk/undergraduate/courses/dance-and-drama/
Kingston University,Drama and Dance,Drama,BA,https://www.kingston.ac.uk/undergraduate/courses/drama/
Kingston University,Music,Music Technology,BA,https://www.kingston.ac.uk/undergraduate/courses/music-technology/
Kingston University,Midwifery,Midwifery with Registered Midwife,BA,https://www.kingston.ac.uk/undergraduate/courses/midwifery/
Kingston University,Architecture,Architecture,BA,https://www.kingston.ac.uk/undergraduate/courses/architecture/
Kingston University,Film Production,Filmmaking,BA,https://www.kingston.ac.uk/undergraduate/courses/filmmaking/
Kingston University,Fine Art,Fine Art,BA,https://www.kingston.ac.uk/undergraduate/courses/fine-art/
Kingston University,Animation,Illustration Animation,BA,https://www.kingston.ac.uk/undergraduate/courses/illustration-animation/
Kingston University,Interior Design,Interior Design,BA,https://www.kingston.ac.uk/undergraduate/courses/interior-design/
Kingston University,Product Design,Product & Furniture Design,BA,https://www.kingston.ac.uk/undergraduate/courses/product-furniture-design/
Kingston University,Computer Science,Aircraft Engineering (Top-Up),BEng,https://www.kingston.ac.uk/undergraduate/courses/aircraft-engineering-beng-top-up/
Kingston University,Electrical Engineering,Electrical and Electronic Engineering (3 Years),BEng,https://www.kingston.ac.uk/undergraduate/courses/electronic-products-engineering/
Kingston University,Aerospace Engineering,Aerospace Engineering (Space Technology),BEng,https://www.kingston.ac.uk/study/undergraduate/aerospace-engineering-meng/beng-hons
Kingston University,Computer Science,Aircraft Engineering,BEng,https://www.kingston.ac.uk/undergraduate/courses/aircraft-engineering/
Kingston University,Accounting and Finance,Business Management and Finance,BSc,https://www.kingston.ac.uk/study/undergraduate/business-management-and-finance-bsc-hons
Kingston University,Business and Management,Business Management and Digital Innovation,BSc,https://www.kingston.ac.uk/undergraduate/courses/business-management-digital-innovation/
Kingston University,Computer Science,Aviation Operations with Commercial Pilot Training,BSc,https://www.kingston.ac.uk/undergraduate/courses/aviation-operations-with-commercial-pilot-training/
Kingston University,Computer Science,Computer Science,BSc,https://www.kingston.ac.uk/undergraduate/courses/computer-science/
Kingston University,Computer Science,Computer Science and Artificial Intelligence,BSc,https://www.kingston.ac.uk/undergraduate/courses/computer-science-and-artificial-intelligence/
Kingston University,Computer Science,Cyber Security & Digital Forensics,BSc,https://www.kingston.ac.uk/undergraduate/courses/cyber-security-digital-forensics/
Kingston University,Computer Science,Pharmaceutical Science with Regulatory Affairs,BSc,https://www.kingston.ac.uk/undergraduate/courses/pharmaceutical-science-regulatory-bsc/
Kingston University,Nursing,Adult Nursing,BSc,https://www.kingston.ac.uk/undergraduate/courses/nursing-registered-nurse-adult/
Kingston University,Nursing,Children's Nursing,BSc,https://www.kingston.ac.uk/undergraduate/courses/nursing-registered-nurse-child/
Kingston University,Nursing,Learning Disabilities Nursing,BSc,https://www.kingston.ac.uk/undergraduate/courses/nursing-registered-nurse-learning-disability/
Kingston University,Health Professions,Mental Health Nursing,BSc,https://www.kingston.ac.uk/undergraduate/courses/nursing-registered-nurse-mental-health/
Kingston University,Accounting and Finance,Accounting And Finance (including Professional Placement),BSc,https://www.kingston.ac.uk/undergraduate/courses/accounting-finance/
Kingston University,Computer Science,Aviation Operations with Commercial Pilot Training (with Foundation Year),BSc,https://www.kingston.ac.uk/study/undergraduate/aviation-operations-with-commercial-pilot-training-bsc-hons
Kingston University,Forensic Science,Forensic Science (with Placement Year),BSc,https://www.kingston.ac.uk/study/undergraduate/forensic-science-bsc-hons
Kingston University,Accounting and Finance,"International Business, Economics and Accounting",FDA,https://www.kingstonisc.com/programmes/international-foundation-year/business-management-and-law
Kingston University,Law,Law and Social Sciences,FDA,https://www.kingstonisc.com/programmes/international-foundation-year/social-sciences
Kingston University,General Engineering,"Science, Technology, Engineering and Mathematics",FDA,https://www.kingstonisc.com/programmes/international-foundation-year/science-engineering-and-computing
Kingston University,Accounting and Finance,Business and Accounting,FDA,https://www.kingston.ac.uk/undergraduate/courses/business-and-accounting/
Kingston University,Law,Law,FDA,https://www.kingston.ac.uk/study/undergraduate/law-llb-hons
Kingston University,Management,Construction Project Management,FDA,https://www.kingston.ac.uk/study/undergraduate/construction-project-management-bsc-hons
Kingston University,Criminology,Criminology and Criminal Justice,FDA,https://www.kingston.ac.uk/study/undergraduate/criminology-and-criminal-justice-bsc-hons
Kingston University,Accounting and Finance,Accounting and Finance,FDA,https://www.kingston.ac.uk/study/undergraduate/accounting-and-finance-bsc-hons
Kingston University,Nursing,Children's Nursing,FDA,https://www.kingston.ac.uk/study/undergraduate/childrens-nursing-bsc-hons
Kingston University,General Engineering,Electrical and Electronic Engineering,FDA,https://www.kingston.ac.uk/study/undergraduate/electrical-and-electronic-engineering-meng/beng-hons
Kingston University,Nursing,Adult Nursing,FDA,https://www.kingston.ac.uk/study/undergraduate/adult-nursing-bsc-hons
Kingston University,General Engineering,Aviation Engineering,FDA,https://www.kingston.ac.uk/study/undergraduate/aviation-engineering-beng-hons
Kingston University,Law,International Law,FDA,https://www.kingston.ac.uk/study/undergraduate/international-law-llb-hons
Kingston University,Criminology,Law and Criminal Justice,FDA,https://www.kingston.ac.uk/study/undergraduate/law-and-criminal-justice-llb-hons
Kingston University,General Engineering,Mechanical Engineering Automotive,FDA,https://www.kingston.ac.uk/study/undergraduate/mechanical-engineering-meng/beng-hons
Kingston University,Health Professions,Mental Health Nursing,FDA,https://www.kingston.ac.uk/study/undergraduate/mental-health-nursing-bsc-hons
Kingston University,General Engineering,Robotic Engineering and Artificial Intelligence,FDA,https://www.kingston.ac.uk/study/undergraduate/robotic-engineering-and-artificial-intelligence-meng/beng-hons
Kingston University,Aerospace Engineering,Aerospace Engineering,FDA,https://www.kingston.ac.uk/undergraduate/courses/aerospace-engineering/
Kingston University,Business and Management,Business Psychology,FDA,https://www.kingston.ac.uk/undergraduate/courses/business-psychology/
Kingston University,Chemistry,Biochemistry,FDA,https://www.kingston.ac.uk/undergraduate/courses/biochemistry-bsc/
Kingston University,Biomedical Science,Biomedical Science,FDA,https://www.kingston.ac.uk/undergraduate/courses/biomedical-science-bsc/
