uniName,programmeName,courseName,degreeName,courseUrlExternal
London South Bank University,Business and Management,International Business Management (Top-Up),BA,https://www.lsbu.ac.uk/study/course-finder/international-business-management-top-up-ba-hons
London South Bank University,Film Production,Film and Television Practice,BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-film-and-tv-practice
London South Bank University,Development Studies,Game Design and Development,BA,https://www.lsbu.ac.uk/study/course-finder/ba-bsc-hons-game-design-development
London South Bank University,Product Design,Media Production,BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-media-production
London South Bank University,Accounting and Finance,Accounting and Finance,BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-accounting-and-finance
London South Bank University,Accounting and Finance,Business Management (Accounting Pathway),BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-with-accounting
London South Bank University,Accounting and Finance,Business Management [Finance Pathway],BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-finance
London South Bank University,Business and Management,Business Management (Marketing Pathway),BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management-marketing
London South Bank University,Business and Management,Business Management (with Placement),BA,https://www.lsbu.ac.uk/study/course-finder/ba-hons-business-management
London South Bank University,Development Studies,Game Design And Development (With Foundation Year) (With Placement),BA,https://www.lsbu.ac.uk/study/course-finder/game-design-and-development-with-foundation-year
London South Bank University,Electrical Engineering,Electrical and Electronic Engineering (Top-Up),BEng,https://www.lsbu.ac.uk/study/course-finder/electrical-and-electronic-engineering-top-up
London South Bank University,Mechanical Engineering,Mechanical Engineering and Design (Top-Up),BEng,https://www.lsbu.ac.uk/study/course-finder/mechanical-engineering-design-beng-top-up
London South Bank University,Chemical Engineering,Chemical Engineering (Top-up),BEng,https://si-applications.com/lsbu.ac.uk/study/course-finder/beng-hons-chemical-engineering-top-up
London South Bank University,Electrical Engineering,Electrical and Electronic Engineering,BEng,https://www.lsbu.ac.uk/study/course-finder/beng-hons-electrical-electronic-engineering
London South Bank University,Computer Science,Electronic and Computer Systems Engineering,BEng,https://www.lsbu.ac.uk/study/course-finder/electronic-and-computer-systems-engineering
London South Bank University,Chemical Engineering,Chemical Engineering,BEng,https://www.lsbu.ac.uk/study/course-finder/beng-hons-chemical-engineering
London South Bank University,Civil Engineering,Civil Engineering (with Placement Year),BEng,https://www.lsbu.ac.uk/study/course-finder/beng-hons-civil-engineering
London South Bank University,Civil Engineering,Civil Engineering With Foundation Year,BEng,https://www.lsbu.ac.uk/study/course-finder/civil-engineering-with-foundation-year
London South Bank University,Mechanical Engineering,Mechanical Engineering (4 Years),BEng,https://www.lsbu.ac.uk/study/course-finder/meng-beng-hons-mechanical-engineering
London South Bank University,Computer Science,Computer System Engineering (Top-Up),BSc,https://www.lsbu.ac.uk/study/course-finder/computer-system-engineering-top-up
London South Bank University,Computer Science,Computer Science (Top-Up),BSc,https://www.lsbu.ac.uk/study/course-finder/computer-science-top-up-bsc
London South Bank University,Product Design,Product Design and Technology,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-mdes-product-design-technology
London South Bank University,Forensic Science,Forensic Sciences,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-forensic-sciences
London South Bank University,Sports Science,Sport and Exercise Science,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-sport-and-exercise-science
London South Bank University,Business and Management,Economics (Business Strategy Pathway),BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-economics-business-strategy-pathway-september-start
London South Bank University,Accounting and Finance,Economics (Finance Pathway),BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-economics-finance-pathway
London South Bank University,Marketing,Marketing with Advertising and Digital Communications,BSc,https://www.lsbu.ac.uk/study/course-finder/marketing-with-advertising-and-digital-communications
London South Bank University,Marketing,Marketing with Digital,BSc,https://www.lsbu.ac.uk/study/course-finder/ba-hons-marketing-with-digital-september-start
London South Bank University,Development Studies,Psychology (Child Development),BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-psychology-child-development
London South Bank University,Nursing,Adult Nursing,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-adult-nursing
London South Bank University,Computer Science,Computer Science,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-computer-science
London South Bank University,Other,Physiotherapy,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-physiotherapy-2022-23
London South Bank University,Sports Science,Sport Rehabilitation,BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-sport-rehabilitation
London South Bank University,Product Design,Product Design And Technology (With Foundation Year),BSc,https://www.lsbu.ac.uk/study/course-finder/product-design-and-technology-with-foundation-year
London South Bank University,Computer Science,Computer Science (with Foundation Year),BSc,https://www.lsbu.ac.uk/study/course-finder/computer-science-with-foundation-year
London South Bank University,Computer Science,Computer Science (Artificial Intelligence),BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-computer-science-artificial-intelligence
London South Bank University,Computer Science,Computer Science (Cyber Security),BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-computer-science-cyber-security#overview
London South Bank University,Computer Science,Computer Science (Data Engineering),BSc,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-computer-science-data-engineering
London South Bank University,General Engineering,Electrical and Electronic Engineering,FDA,https://www.lsbu.ac.uk/study/course-finder/electrical-and-electronic-engineering-with-foundation-year
London South Bank University,General Engineering,Mechanical Engineering,FDA,https://www.lsbu.ac.uk/study/course-finder/mechanical-engineering-with-foundation-year
London South Bank University,Forensic Science,Forensic Science,FDA,https://www.lsbu.ac.uk/study/course-finder/forensic-science-with-foundation-year
London South Bank University,Sports Science,Sport and Exercise Science,FDA,https://www.lsbu.ac.uk/study/course-finder/sport-and-exercise-science-with-foundation-year
London South Bank University,Biomedical Science,Biomedical Science,FDA,https://www.lsbu.ac.uk/study/course-finder/biomedical-science-with-foundation-year
London South Bank University,Accounting and Finance,Accounting and Finance (with Placement),FDA,https://www.lsbu.ac.uk/study/course-finder/accounting-and-finance-with-placement-with-foundation-year-ft
London South Bank University,Accounting and Finance,Accounting and Finance,FDA,https://www.lsbu.ac.uk/study/course-finder/accounting-and-finance-with-foundation-year-ft
London South Bank University,Economics,Economics,FDA,https://www.lsbu.ac.uk/study/course-finder/bsc-hons-economics-with-foundation-year
London South Bank University,Marketing,Marketing with Advertising & Digital Communications (with Placement),FDA,https://www.lsbu.ac.uk/study/course-finder/marketing-with-advertising-and-digital-communications-with-foundation-year-ft
London South Bank University,Marketing,Marketing with Digital,FDA,https://www.lsbu.ac.uk/study/course-finder/marketing-with-digital-with-foundation-year
London South Bank University,Psychology,Psychology,FDA,https://www.lsbu.ac.uk/study/course-finder/psychology-with-foundation-year
