uniName,programmeName,courseName,degreeName,courseUrlExternal
Manchester Metropolitan University,Business and Management,International Fashion Business (Top Up),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-fashion-business-top-up
Manchester Metropolitan University,Business and Management,Business Administration and Management (Top Up),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-administration-and-management-top-up
Manchester Metropolitan University,Criminology,Sociology and Criminology (with a Foundation Year),BA,https://www.mmu.ac.uk/study/undergraduate/course/bsc-sociology-and-criminology-degrees-with-a-foundation-year
Manchester Metropolitan University,Graphic Design,International Graphic Design (Top Up),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-graphic-design-top-up
Manchester Metropolitan University,Interior Design,International Interior Design (Top Up),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-interior-design-top-up
Manchester Metropolitan University,Product Design,International Product Design (Top Up),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-product-design-top-up
Manchester Metropolitan University,Business and Management,Business Administration and Management,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-administration-and-management
Manchester Metropolitan University,Business and Management,Business and Management for Sustainability,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-and-management-for-sustainability
Manchester Metropolitan University,Business and Management,Business Entrepreneurship,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-entrepreneurship
Manchester Metropolitan University,Economics,"Philosophy, Politics and Economics",BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-philosophy-politics-and-economics
Manchester Metropolitan University,Business and Management,Business and Marketing,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-and-marketing
Manchester Metropolitan University,Business and Management,Business Management,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-management
Manchester Metropolitan University,Business and Management,Business Management (with a Modern Language),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-management-with-a-modern-language
Manchester Metropolitan University,Business and Management,Business Management with Law,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-business-management-with-law
Manchester Metropolitan University,Creative Writing,Creative Writing,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-creative-writing
Manchester Metropolitan University,Economics,Economics,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-economics
Manchester Metropolitan University,Creative Writing,English and Creative Writing,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-english-and-creative-writing
Manchester Metropolitan University,Education,English and Teaching English to Speakers of Other Languages,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-english-and-teaching-english-to-speakers-of-other-languages
Manchester Metropolitan University,Education,Film and Media Studies,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-film-and-media-studies
Manchester Metropolitan University,International Relations,History and International Relations,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-history-and-international-relations
Manchester Metropolitan University,Politics,History and Politics,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-history-and-politics
Manchester Metropolitan University,Business and Management,Human Resource Management and Business,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-human-resource-management-and-business
Manchester Metropolitan University,Health Professions,Health and Social Care,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-health-and-social-care
Manchester Metropolitan University,International Relations,International Relations,BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations
Manchester Metropolitan University,International Relations,International Relations (with a Modern Language),BA,https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations-with-a-modern-language
