"course_url","study_level","source_scope"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-architecture-foundation","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-business-administration-and-management-with-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-business-management-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-creative-writing-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-early-years-and-childhood-studies-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-education-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-english-and-creative-writing-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-english-and-film-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-english-and-multimedia-journalism-with-a-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-english-and-teaching-english-to-speakers-of-other-languages-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-english-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-english-language-and-linguistics-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-ethics-religion-and-philosophy-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-events-management-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-film-and-media-studies-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-history-and-international-relations-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-history-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-human-resource-management-and-business-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-international-business-management-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-international-relations-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-linguistics-and-english-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-multimedia-journalism-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-philosophy-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-philosophy-politics-and-economics-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-politics-and-philosophy-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-politics-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-special-and-inclusive-education-with-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/ba-teaching-english-to-speakers-of-other-languages-and-linguistics-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/bsc-accounting-and-finance-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/bsc-banking-and-finance-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/bsc-business-psychology-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/bsc-digital-media-and-communications-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/bsc-economics-foundation-year","foundation","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/undergraduate/course/bsc-international-hospitality-and-tourism-business-management-foundation-year","foundation","UNDERGRADUATE"
