"course_url","study_level","source_scope"
"https://www.mmu.ac.uk/study/postgraduate/course/bar-training-course","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/bsc-psychology","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/global-public-health","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/graduate-diploma-in-law-common-professional-examination","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/llm-in-legal-practice-at-the-bar","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/llm-international-corporate-law","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/llm-international-human-rights-and-inequalities","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/llm-legal-practice","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/llm-llm-international-sports-law-and-governance","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/llm-master-of-laws","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-animation","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-applied-criminology","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-applied-linguistics","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-architecture-and-adaptive-reuse","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-architecture-and-urbanism","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-contemporary-curating","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-craft","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-creative-writing","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-education","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-educational-leadership","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-english-studies","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-fashion-design-technology","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-filmmaking","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-fine-art","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-games-art","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-graphic-design","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-history","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-illustration","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-inclusive-education","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-interiors","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-international-relations-and-global-communications","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-mfa-performance","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-multimedia-journalism","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-photography","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-public-history-and-heritage","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-publishing","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-social-research","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-social-work","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-sound-design","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-teaching-english-to-speakers-of-other-languages-tesol-2","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-textiles","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/ma-user-experience-design","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/march-master-of-architecture","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/master-of-public-administration","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/mba-master-of-business-administration","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/mfa-creative-writing","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/mla-master-of-landscape-architecture","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-accounting-and-finance","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-adult-nursing-pre-registration","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-advanced-materials","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-advanced-physiotherapy","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-ai-for-digital-business","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-animal-behaviour-and-evolution","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-artificial-intelligence","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-biomedical-science","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-biotechnology","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-business-analytics","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-cellular-pathology-1","postgraduate","UNDERGRADUATE"
"https://www.mmu.ac.uk/study/postgraduate/course/msc-child-and-adolescent-mental-health","postgraduate","UNDERGRADUATE"
