uniName,programmeName,courseName,degreeName,courseUrlExternal
Ravensbourne University London,Animation,3D Animation,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-3d-animation
Ravensbourne University London,Animation,Animation,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-animation
Ravensbourne University London,Film Production,Digital Film Production,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-digital-film-production
Ravensbourne University London,Product Design,Digital Television Production,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-digital-television-production
Ravensbourne University London,Product Design,Editing and Post Production,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-editing-and-post-production
Ravensbourne University London,Fashion and Textiles,Fashion,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-fashion
Ravensbourne University London,Fashion and Textiles,Fashion Buying and Brand Management,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-fashion-buying-and-brand-management
Ravensbourne University London,Fashion and Textiles,Fashion Promotion and Communication,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-fashion-promotion-and-communication
Ravensbourne University London,Development Studies,Games Development,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-games-development
Ravensbourne University London,Music,Music and Sound Production,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-music-and-sound-production
Ravensbourne University London,Product Design,Product Design,BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-product-design
Ravensbourne University London,Journalism,Multimedia and Broadcast Journalism,BA,https://www.ravensbourne.ac.uk/ba-hons-multimedia-and-broadcast-journalism
Ravensbourne University London,Animation,3D Animation (with Integrated Foundation Year),BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-3d-animation-integrated-foundation-year
Ravensbourne University London,Product Design,Product Design (with Integrated Foundation Year),BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-product-design-integrated-foundation-year
Ravensbourne University London,Fashion and Textiles,Fashion (with Integrated Foundation Year),BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-fashion-integrated-foundation-year
Ravensbourne University London,Fashion and Textiles,Fashion Promotion and Communication (with Integrated Foundation Year),BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-fashion-promotion-and-communication-integrated-foundation-year
Ravensbourne University London,Fashion and Textiles,Fashion Buying and Brand Management (with Integrated Foundation Year),BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-fashion-buying-and-brand-management-foundation-year
Ravensbourne University London,Music,Music and Sound Production (with Integrated Foundation Year),BA,https://www.ravensbourne.ac.uk/study/undergraduate/ba-hons-music-and-sound-production-integrated-foundation-year
Ravensbourne University London,Computer Science,Computer Science with International Year One,BSc,https://www.ravensbourne.ac.uk/study/undergraduate/bsc-hons-computer-science-with-international-year-one
Ravensbourne University London,Business and Management,Business Management,BSc,https://www.ravensbourne.ac.uk/study/undergraduate/bsc-hons-business-management
Ravensbourne University London,Computer Science,Computer Science,BSc,https://www.ravensbourne.ac.uk/study/undergraduate/bsc-hons-computer-science
Ravensbourne University London,Computer Science,Cyber Security,BSc,https://www.ravensbourne.ac.uk/study/undergraduate/bsc-hons-cyber-security
Ravensbourne University London,Marketing,Digital Marketing,BSc,https://www.ravensbourne.ac.uk/study/undergraduate/bsc-hons-digital-marketing
Ravensbourne University London,Business and Management,Business Management with Fashion,BSc,https://www.ravensbourne.ac.uk/study/undergraduate/bsc-hons-business-management-fashion
