uniName,programmeName,courseName,degreeName,courseUrlExternal
Teesside University,Business and Management,Business and Enterprise (Top-Up) (Online),BA,https://www.tees.ac.uk/undergraduate_courses/business_management_&_enterprise/ba_(hons)_business_and_enterprise_(top-up)_(online).cfm
Teesside University,Computer Science,Airline and Airport Management (Top-Up),BA,https://www.tees.ac.uk/undergraduate_courses/aviation_&_tourism/ba_(hons)_airline_and_airport_management_(top-up).cfm
Teesside University,Accounting and Finance,Business Finance and Accounting (Top-Up),BA,https://www.tees.ac.uk/undergraduate_courses/accounting_&_economics/ba_(hons)_business_finance_and_accounting_(top-up).cfm
Teesside University,Business and Management,International Business Management (Top-Up),BA,https://www.tees.ac.uk/undergraduate_courses/business_management_&_enterprise/ba_(hons)_international_business_management_(top-up).cfm
Teesside University,Business and Management,International Business with Human Resource Management (Top-Up),BA,https://www.tees.ac.uk/undergraduate_courses/human_resource_management/ba_(hons)_international_business_with_human_resource_management_(top-up).cfm
Teesside University,Business and Management,International Business with Marketing (Top-Up),BA,https://www.tees.ac.uk/undergraduate_courses/marketing_&_events/ba_(hons)_international_business_with_marketing_(top-up).cfm
Teesside University,Animation,2D Animation and Stop Motion,BA,https://www.tees.ac.uk/undergraduate_courses/animation_concept_art_&_visual_effects/ba_(hons)_2d_animation_and_stop_motion.cfm
Teesside University,Animation,Animation,BA,https://www.tees.ac.uk/undergraduate_courses/animation_concept_art_&_visual_effects/ba_(hons)_animation.cfm
Teesside University,Accounting and Finance,Business and Accounting,BA,https://www.tees.ac.uk/undergraduate_courses/accounting_&_economics/ba_(hons)_business_and_accounting.cfm
Teesside University,Business and Management,Business and Marketing,BA,https://www.tees.ac.uk/undergraduate_courses/marketing_&_events/ba_(hons)_business_and_marketing.cfm
Teesside University,Business and Management,Business Management,BA,https://www.tees.ac.uk/undergraduate_courses/business_management_&_enterprise/ba_(hons)_business_management.cfm
Teesside University,Creative Writing,English and Creative Writing,BA,https://www.tees.ac.uk/undergraduate_courses/english_&_creative_writing/ba_(hons)_english_and_creative_writing.cfm
Teesside University,Film Production,Film and Television Production,BA,https://www.tees.ac.uk/undergraduate_courses/media_&_journalism/ba_(hons)_film_and_television_production.cfm
Teesside University,Fine Art,Fine Art,BA,https://www.tees.ac.uk/undergraduate_courses/art_&_design/ba_(hons)_fine_art.cfm
Teesside University,Interior Design,Interior Design,BA,https://www.tees.ac.uk/undergraduate_courses/art_&_design/ba_(hons)_interior_design.cfm
Teesside University,"Hospitality, Event Management and Tourism",International Tourism Management,BA,https://www.tees.ac.uk/undergraduate_courses/aviation_&_tourism/ba_(hons)_international_tourism_management.cfm
Teesside University,Music,Music Production,BA,https://www.tees.ac.uk/undergraduate_courses/music_production/ba_(hons)_music_production.cfm
Teesside University,International Relations,Politics with International Relations,BA,https://www.tees.ac.uk/undergraduate_courses/politics/ba_(hons)_politics_with_international_relations.cfm
Teesside University,Education,Teaching English to Speakers of Other Languages (TESOL) (Top-Up),BA,https://www.tees.ac.uk/undergraduate_courses/education_&_youth/ba_(hons)_teaching_english_to_speakers_of_other_languages_(tesol)_top_up.cfm
