uniName,programmeName,courseName,degreeName,courseUrlExternal
Abertay University,Business and Management,Business Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/business-management-1/
Abertay University,Business and Management,Business Management with Analytics,BA,https://www.abertay.ac.uk/course-search/undergraduate/business-management-with-analytics/
Abertay University,Business and Management,Business Management with Events Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/business-management-with-events-management/
Abertay University,Business and Management,Business Management with People Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/business-management-with-people-management/
Abertay University,Business and Management,Digital Marketing and Business Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/digital-marketing-and-business-management/
Abertay University,"Hospitality, Event Management and Tourism",Digital Marketing with Events Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/digital-marketing-with-events-management/
Abertay University,Business and Management,Marketing and Business Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/marketing-and-business-management/
Abertay University,Accounting and Finance,Accounting and Finance,BA,https://www.abertay.ac.uk/course-search/undergraduate/accounting-and-finance/
Abertay University,Accounting and Finance,Accounting and Finance with Business Analytics,BA,https://www.abertay.ac.uk/course-search/undergraduate/accounting-and-finance-with-business-analytics/
Abertay University,Accounting and Finance,Accounting and Finance with Law,BA,https://www.abertay.ac.uk/course-search/undergraduate/accounting-and-finance-with-law/
Abertay University,Accounting and Finance,Accounting and Finance with People Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/accounting-and-finance-with-people-management/
Abertay University,Business and Management,Business Management with Law,BA,https://www.abertay.ac.uk/course-search/undergraduate/business-management-with-law/
Abertay University,Management,Sport and Management,BA,https://www.abertay.ac.uk/course-search/undergraduate/sport-and-management/
Abertay University,Computer Science,Computer Arts,BA,https://www.abertay.ac.uk/course-search/undergraduate/computer-arts/
Abertay University,Product Design,Game Design and Production,BA,https://www.abertay.ac.uk/course-search/undergraduate/game-design-and-production/
Anglia Ruskin University - ARU,Computer Science,Computer Games Design,BA,https://www.aru.ac.uk/study/undergraduate/computer-games-design
Anglia Ruskin University - ARU,Creative Writing,Creative Writing,BA,https://www.aru.ac.uk/study/undergraduate/creative-writing
Anglia Ruskin University - ARU,Film Production,Film and Television Production,BA,https://www.aru.ac.uk/study/undergraduate/film-and-television-production
Anglia Ruskin University - ARU,Computer Science,Computer Games Art,BA,https://www.aru.ac.uk/study/undergraduate/computer-games-art
Bangor University,English Literature,English Literature and Music,BA,https://www.bangor.ac.uk/courses/undergraduate/32n6-english-literature-and-music-ba-hons
Bangor University,Music,History and Music,BA,https://www.bangor.ac.uk/courses/undergraduate/vw13-history-and-music-ba-hons
Bangor University,Drama and Dance,Media and Drama,BA,https://www.bangor.ac.uk/courses/undergraduate/p31w-media-and-drama-ba-hons
Bangor University,Creative Writing,Media And Creative Writing,BA,https://www.bangor.ac.uk/courses/undergraduate/wp83-media-studies-and-creative-writing-ba-hons
Bangor University,English Literature,Media And English Literature,BA,https://www.bangor.ac.uk/courses/undergraduate/3hpq-media-studies-and-english-literature-ba-hons
Bangor University,Music,Media And Music,BA,https://www.bangor.ac.uk/courses/undergraduate/pw33-media-studies-and-music-ba-hons
Bangor University,English Literature,Cymraeg (welsh) And English Literature,BA,https://www.bangor.ac.uk/courses/undergraduate/3q5q-welsh-and-english-literature-ba-hons
Bangor University,Music,Cymraeg (welsh) And Music,BA,https://www.bangor.ac.uk/courses/undergraduate/qw53-welsh-and-music-ba-hons
Bangor University,English Literature,Film And English Literature,BA,"https://www.bangor.ac.uk/courses/undergraduate/33pq-film-and-english-literature-ba-hons,https://www.bangor.ac.uk/courses/undergraduate/33pq-film-and-english-literature-ba-hons"
Bangor University,Film Production,"Media, Film and Journalism",BA,https://www.bangor.ac.uk/courses/undergraduate/p318-media-film-and-journalism-ba-hons
Bangor University,Music,Music (Arts),BA,https://www.bangor.ac.uk/courses/undergraduate/w300-music-ba-hons
Bangor University,Creative Writing,Creative Writing,BA,https://www.bangor.ac.uk/courses/undergraduate/w890-creative-and-professional-writing-ba-hons
Bangor University,Criminology,Criminology and Criminal Justice and Social Policy,BA,https://www.bangor.ac.uk/courses/undergraduate/l34l-criminology-and-criminal-justice-and-social-policy-ba-hons
Bangor University,Criminology,Criminology And Psychology,BA,https://www.bangor.ac.uk/courses/undergraduate/lm3y-cymdeithaseg-sociology-and-criminology-and-criminal-justice-bilingual-ba
Bangor University,English Literature,English Language and English Literature,BA,https://www.bangor.ac.uk/courses/undergraduate/qqc3-english-language-and-english-literature-ba-hons
Bangor University,Creative Writing,English Language with Creative Writing,BA,https://www.bangor.ac.uk/courses/undergraduate/q3wl-english-language-with-creative-writing-ba-hons
Bangor University,English Literature,English Literature,BA,https://www.bangor.ac.uk/courses/undergraduate/8h25-english-literature-ba-hons
Bangor University,Creative Writing,English Literature and Creative Writing,BA,https://www.bangor.ac.uk/courses/undergraduate/2p17-english-literature-and-creative-writing-ba-hons
Bangor University,Drama and Dance,English Literature and Drama,BA,https://www.bangor.ac.uk/courses/undergraduate/qw34-english-literature-and-drama-ba-hons
Bangor University,Drama and Dance,Film and Drama,BA,https://www.bangor.ac.uk/courses/undergraduate/p34w-film-and-drama-ba-hons
Bangor University,English Literature,History and English Literature,BA,https://www.bangor.ac.uk/courses/undergraduate/3qv1-history-and-english-literature-ba-hons
Bangor University,Creative Writing,Music and Creative Writing,BA,https://www.bangor.ac.uk/courses/undergraduate/ww38-music-and-creative-writing-ba-hons
Bangor University,Politics,Politics,BA,https://www.bangor.ac.uk/courses/undergraduate/l200-politics-ba-hons
Bangor University,Criminology,Sociology and Criminology and Criminal Justice,BA,https://www.bangor.ac.uk/courses/undergraduate/lm39-sociology-and-criminology-and-criminal-justice-ba-hons
Bangor University,Sociology and Social Policy,Sociology and Social Policy (Welsh Medium),BA,https://www.bangor.ac.uk/courses/undergraduate/l3lk-sociology-with-social-policy-welsh-medium-ba-hons
Bangor University,Creative Writing,Cymraeg (welsh) With Creative Writing,BA,https://www.bangor.ac.uk/courses/undergraduate/q5wk-welsh-with-creative-writing-ba-hons
Bangor University,Health Professions,Health and Social Care,BA,https://www.bangor.ac.uk/courses/undergraduate/l510-health-and-social-care-ba-hons
Bangor University,Drama and Dance,Music and Drama,BA,https://www.bangor.ac.uk/courses/undergraduate/ww34-music-and-drama-ba-hons
Bangor University,Film Production,Music And Film,BA,https://www.bangor.ac.uk/courses/undergraduate/ww36-music-and-film-studies-ba-hons
Bangor University,Criminology,Criminology and Criminal Justice,BA,https://www.bangor.ac.uk/courses/undergraduate/m930-criminology-and-criminal-justice-ba-hons
Bangor University,Geography,Geography,BA,https://www.bangor.ac.uk/courses/undergraduate/l700-geography-ba-hons
Bangor University,Education,Childhood And Youth Studies and Psychology,BA,https://www.bangor.ac.uk/courses/undergraduate/x319-childhood-and-youth-studies-and-psychology-ba-hons
Bangor University,Psychology,Linguistics and Psychology,BA,https://www.bangor.ac.uk/courses/undergraduate/q1c8-linguistics-and-psychology-ba-hons
Bangor University,Creative Writing,Creative Writing and Modern Languages,BA,https://www.bangor.ac.uk/courses/undergraduate/w8r8-creative-writing-and-modern-languages-ba-hons
Bangor University,Drama and Dance,Film and Drama (with Study Abroad),BA,https://www.bangor.ac.uk/courses/undergraduate/3p3q-film-studies-and-english-literature-ba-hons
Bangor University,Criminology,Modern Languages and Criminology & Criminal Justice,BA,https://www.bangor.ac.uk/courses/undergraduate/r807-modern-languages-and-criminology-criminal-justice-ba-hons
Bangor University,English Literature,Modern Languages and English Literature,BA,https://www.bangor.ac.uk/courses/undergraduate/r801-modern-languages-and-english-literature-ba-hons
Bangor University,Film Production,Modern Languages And Film,BA,https://www.bangor.ac.uk/courses/undergraduate/r803-modern-languages-and-film-studies-ba-hons
Bangor University,Music,Music and Modern Languages,BA,https://www.bangor.ac.uk/courses/undergraduate/w3r8-music-and-modern-languages-ba-hons
Bangor University,Psychology,Sport and Exercise Psychology,BA,https://www.bangor.ac.uk/courses/undergraduate/c680-sport-and-exercise-psychology-bsc-hons
Birmingham City University,Business and Management,Business Administration (Top-Up),BA,https://www.bcu.ac.uk/courses/business-admin-top-up-2025-26
Birmingham City University,Accounting and Finance,International Finance (Top-Up),BA,https://www.bcu.ac.uk/courses/international-finance-top-up-ba-hons-2025-26
Birmingham City University,Marketing,International Marketing (Top-Up),BA,https://www.bcu.ac.uk/courses/international-marketing-ba-hons-2025-26
