uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Birmingham,Economics,"Policy, Politics and Economics",BA,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/policy-politics-economics
University of Birmingham,Sociology and Social Policy,Sociology And Social Policy,BA,https://www.birmingham.ac.uk/undergraduate/courses/social-policy/social-policy-sociology.aspx
University of Birmingham,Creative Writing,English Literature and Creative Writing,BA,https://www.birmingham.ac.uk/undergraduate/courses/english/english-creative
University of Birmingham,Classics and Ancient History,Ancient History,BA,https://www.birmingham.ac.uk/undergraduate/courses/caha/ancient-history
University of Birmingham,Classics and Ancient History,Classics,BA,https://www.birmingham.ac.uk/undergraduate/courses/caha/classics
University of Birmingham,Drama and Dance,Drama and English Literature,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/drama-and-english
University of Birmingham,Drama and Dance,Drama and Theatre Arts,BA,https://www.birmingham.ac.uk/undergraduate/courses/drama/drama-theatre
University of Birmingham,English Literature,English Literature,BA,https://www.birmingham.ac.uk/undergraduate/courses/english/english
University of Birmingham,English Literature,English Literature and Film,BA,https://www.birmingham.ac.uk/undergraduate/courses/english/english-film
University of Birmingham,History of Art,History of Art,BA,https://www.birmingham.ac.uk/undergraduate/courses/histart/history-art
University of Birmingham,Mathematics,Mathematics and Philosophy,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/mathematics-and-philosophy
University of Birmingham,Philosophy,"Politics, Religion and Philosophy",BA,https://www.birmingham.ac.uk/undergraduate/courses/thr/politics-religion-philosophy
University of Birmingham,Classics and Ancient History,Ancient History and Archaeology,BA,https://www.birmingham.ac.uk/undergraduate/courses/caha/arch-ancient-hist
University of Birmingham,Philosophy,Classical Literature & Civilisation and Philosophy,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/classical-literature-and-civilisation-and-philosophy
University of Birmingham,Creative Writing,Drama and Creative Writing,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/drama-and-creative-writing
University of Birmingham,English Literature,English Literature and Classical Literature & Civilisation,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-literature-and-classical-literature-and-civilisation
University of Birmingham,English Literature,English Literature and History,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-literature-and-history
University of Birmingham,English Literature,English Literature and History of Art,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-and-history-of-art
University of Birmingham,English Literature,English Literature and Philosophy,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/english-literature-and-philosophy
University of Birmingham,History of Art,History and History of Art,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-history-of-art
University of Birmingham,Philosophy,History and Philosophy,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-philosophy
University of Birmingham,Politics,History and Politics,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/history-and-politics
University of Birmingham,Education,Social Anthropology and African Studies,BA,https://www.birmingham.ac.uk/undergraduate/courses/jointhonours/anthropology-and-african-studies
