uniName,programmeName,courseName,degreeName,courseUrlExternal
University of East London,Education,Fashion Studies (Top-Up),BA,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-studies-top
University of East London,Drama and Dance,Dance,BA,https://www.uel.ac.uk/undergraduate/courses/ba-hons-dance
University of East London,Film Production,Filmmaking,BA,https://www.uel.ac.uk/undergraduate/courses/ba-hons-filmmaking
University of East London,Music,Music Performance and Production,BA,https://uel.ac.uk/undergraduate/courses/ba-hons-music-performance-production
University of East London,Music,Music Technology and Production,BA,https://uel.ac.uk/undergraduate/courses/ba-hons-music-technology-production
University of East London,Business and Management,Sport Business Management,BA,https://uel.ac.uk/undergraduate/courses/ba-hons-sport-business-management
University of East London,"Hospitality, Event Management and Tourism",Tourism Management,BA,https://uel.ac.uk/undergraduate/courses/ba-hons-tourism-management
University of East London,"Hospitality, Event Management and Tourism",Tourism Management (with Foundation Year),BA,https://www.uel.ac.uk/undergraduate/courses/ba-hons-tourism-management
University of East London,Computer Science,Airline and Airport Management (with Placement Year),BA,https://uel.ac.uk/undergraduate/courses/ba-hons-airline-airport-management
University of East London,"Hospitality, Event Management and Tourism",Events Management with Entrepreneurship (with Placement Year),BA,https://uel.ac.uk/undergraduate/courses/ba-hons-events-management-entrepreneurship
University of East London,Computer Science,Applied Computing (Top-Up),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-applied-computing-top
University of East London,Business and Management,International Business Management (Top-Up),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-international-business-management-top
University of East London,Sports Science,Sport Rehabilitation,BSc,https://www.uel.ac.uk/undergraduate/courses/bsc-hons-sport-rehabilitation
University of East London,Computer Science,Computer Science with Education and Qualified Teacher Status,BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-computer-science-education-qualified-teacher-status
University of East London,Nursing,Nursing (Adult),BSc,https://www.uel.ac.uk/undergraduate/courses/bsc-hons-nursing-adult
University of East London,Computer Science,Data Science and Artificial Intelligence (with Foundation Year),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-data-science-artificial-intelligence
University of East London,Computer Science,Data Science and Artificial Intelligence (with Placement Year),BSc,https://www.uel.ac.uk/undergraduate/courses/bsc-hons-data-science-artificial-intelligence
University of East London,Chemistry,Chemistry (with Foundation Year),BSc,https://www.uel.ac.uk/undergraduate/courses/bsc-hons-chemistry
University of East London,Computer Science,Computer Science (with Placement Year),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-computer-science
University of East London,Computer Science,Cloud Computing (with Placement Year),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-cloud-computing
University of East London,Marketing,Marketing (with Foundation Year and Placement Year),BSc,https://www.uel.ac.uk/undergraduate/courses/bsc-hons-marketing
University of East London,Computer Science,Cyber Security and Networks (with Foundation Year with Placement Year),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-cyber-security-networks
University of East London,Computer Science,Computer Science (Web and Mobile Technologies) (with Foundation Year and Placement Year),BSc,https://uel.ac.uk/undergraduate/courses/bsc-hons-computer-science-web-mobile-technologies
University of East London,"Hospitality, Event Management and Tourism","Hospitality, Events And Tourism Foundation Pathways",FDA,https://uel.ac.uk/about/our-schools/royal-docks-school-business-law/hospitality-events-tourism-foundation-pathways
University of East London,Business and Management,International Foundation Year (Business and Management),FDA,https://uel.ac.uk/international/international-pathway-programmes
University of East London,Business and Management,Business (International Year One),FDA,https://uelisc.com/programmes/international-year-one/
University of East London,Development Studies,Sustainable Development and Social Change,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-sustainable-development-social-change
University of East London,General Engineering,Aeronautical Engineering (with Placement Year),FDA,https://uel.ac.uk/undergraduate/courses/beng-hons-aeronautical-engineering
University of East London,Accounting and Finance,Accounting and Business Management,FDA,https://uel.ac.uk/undergraduate/courses/bsc-hons-accounting-business-management
University of East London,Fashion and Textiles,Fashion Marketing and Communication,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-marketing-communication
University of East London,Fashion and Textiles,Fashion Design (with Placement Year),FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-fashion-design
University of East London,General Engineering,Engineering Management (with Placement Year),FDA,https://uel.ac.uk/undergraduate/courses/beng-hons-engineering-management
University of East London,Education,Early Childhood Studies (with Placement Year),FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-early-childhood-studies
University of East London,Law,Law (with Placement Year),FDA,https://uel.ac.uk/undergraduate/courses/llb-hons-law
University of East London,Education,Psychosocial Studies,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-psychosocial-studies
University of East London,Business and Management,Business Economics,FDA,https://uel.ac.uk/undergraduate/courses/bsc-hons-business-economics
University of East London,Animation,Animation,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-animation
University of East London,Accounting and Finance,Banking and Finance,FDA,https://uel.ac.uk/undergraduate/courses/bsc-hons-banking-finance
University of East London,Biomedical Science,Biomedical Science,FDA,https://uel.ac.uk/undergraduate/courses/bsc-hons-biomedical-science
University of East London,Business and Management,Business Law,FDA,https://uel.ac.uk/undergraduate/courses/llb-hons-business-law
University of East London,Business and Management,Business Management,FDA,https://uel.ac.uk/undergraduate/courses/bsc-hons-business-management
University of East London,Criminology,Criminology and Law,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-criminology-law
University of East London,Drama and Dance,Dance,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-dance-urban-practice
University of East London,Economics,Economics,FDA,https://uel.ac.uk/undergraduate/courses/bsc-hons-economics
University of East London,Education,Education Studies,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-education-studies
University of East London,General Engineering,Electrical and Electronic Engineering,FDA,https://uel.ac.uk/undergraduate/courses/beng-hons-electrical-electronic-engineering
University of East London,Film Production,Film Making,FDA,https://uel.ac.uk/undergraduate/courses/ba-hons-film
