uniName,programmeName,courseName,minDegreeName,minGpa,higherDegreeName,higherGpa,AcademicRequirementsMetaData,intakeInfo,courseDuration,tuitionFee,currency,initialDeposit,applicationFee,feesMetaData,commission,applicationDeadline,ieltsMinOverall,ieltsMinSection,toeflMinOverall,toeflMinSection,pteMinOverall,pteMinSection,scholarshipName,scholarshipAmount,scholarshipType,scholarshipMetaData,degreeName,courseUrlExternal,Uni_Academic_Requirements,Uni_English_Requirements,Uni_Deposit,Uni_Scholarship,Result,courseScraped,Uni_metadate
University of Essex,Computer Science,International Affairs and Economics,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,12 months,22600,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG01658/1/BA-International-Affairs-and-Economics?startdate=26-10,,,,,,,
University of Essex,Computer Science,International Affairs,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,12 months,22600,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG01657/1/BA-International-Affairs?startdate=26-10,,,,,,,
University of Essex,Criminology,History and Criminology,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,20475,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG00190/1/BA-History-and-Criminology?startdate=2024/25,,,,,,,
University of Essex,Computer Science,Urban Sustainability Studies,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG01651/1/BA-Urban-Sustainability-Studies?startdate=26-10,,,,,,,
University of Essex,"Hospitality, Event Management and Tourism",Events Management,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG01328/2/BA-Events-Management?startdate=24-10&coursecode=N888,,,,,,,
University of Essex,Education,American Studies (United States) with Film,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG00014/1/BA-American-Studies-United-States?startdate=2024/25,,,,,,,
University of Essex,Criminology,Criminology and American Studies,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG00090/1/BA-Criminology-and-American-Studies?startdate=2024/25,,,,,,,
University of Essex,Education,Film Studies,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/ug00164/1/ba-film-studies,,,,,,,
University of Essex,"Hospitality, Event Management and Tourism",Tourism,IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG01585/2/BA-Tourism,,,,,,,
University of Essex,Computer Science,"Philosophy, Ethics and Sustainability (Including Year Abroad) (3 Years)",IB,60,,60,"[{""subtitle"": ""Entry requirements"", ""description"": [""To be eligible for most Undergraduate Bachelor degree courses, applicants must have an average of 60% in the best four subjects from Indian high school qualifications."", ""Achieving 70% in English from CBSE or CISCE exempts from additional English tests."", ""Some courses may have higher requirements.""]}, {""subtitle"": ""English Requirement"", ""description"": [""If not exempt, English test scores are needed.""]}]",2026-10-01,36 months,21500,GBP,,0,,0,,,,,,,,,,,,BA,https://www.essex.ac.uk/courses/UG01567/1/BA-Philosophy-Ethics-and-Sustainability?coursecode=V5L8,,,,,,,
