"course_url","study_level","source_scope"
"https://www.essex.ac.uk/courses/PG00147/1/MA-Acting-International","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00147/2/MFA-Acting-International","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00366/2/MRes-Health-and-Care-Research","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00368/2/MSc-Mathematics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00425/1/MSc-Accounting","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00425/4/MRes-Accounting","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00426/1/MSc-Accounting-and-Finance","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00427/1/MSc-Financial-Economics-and-Accounting","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00428/1/MSc-Accounting-and-Financial-Management","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00430/1/MRes-Management-Research","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00431/1/MA-Acting","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00435/1/MSc-Advanced-Computer-Science","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00438/1/MSc-Advanced-Musculoskeletal-Assessment-and-Practice","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00441/1/MA-Advertising-Marketing-and-the-Media","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00448/1/MA-Applied-Linguistics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00456/1/MA-Art-History-and-Theory","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00456/2/Graduate-Diploma-Art-History-and-Theory","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00457/1/MSc-Artificial-Intelligence","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00461/1/MSc-Corporate-and-Investment-Banking","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00462/1/MSc-Behavioural-and-Experimental-Economics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00469/1/MSc-Biotechnology","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00472/1/Master-of-Business-Administration-The-Essex-MBA","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00472/2/Master-of-Business-Administration-The-Essex-MBA","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00472/4/Master-of-Business-Administration-The-Essex-MBA","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00472/5/Master-of-Business-Administration-The-Essex-MBA","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00500/1/MSc-Computer-Engineering","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00502/1/MSc-Computer-Networks-and-Security","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00508/1/MA-Conflict-Resolution","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00508/2/MSc-Conflict-Resolution","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00519/1/MA-Creative-Writing","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00521/1/MA-Criminology","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00542/1/MSc-Economics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00542/2/MRes-Economics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00542/7/MA-Economics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00546/1/MSc-Electronic-Engineering","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00555/1/MA-English-Language-and-Linguistics","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00558/1/MSc-Entrepreneurship-and-Innovation","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00576/1/MA-Film-and-Literature","postgraduate","POSTGRADUATE"
"https://www.essex.ac.uk/courses/PG00577/1/MA-Film-Studies","postgraduate","POSTGRADUATE"
