uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Greenwich,Business and Management,Business Management (Year 2 & 3 Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-year-2-and-3-entry
University of Greenwich,Business and Management,Business Logistics and Supply Chain Management (Year 2 & 3 Direct Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-logistics-and-supply-chain-management-year-2-and-3-direct-entry-ba-hons
University of Greenwich,Business and Management,Business Studies (Year 2 & 3 Direct Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-studies-year-3-direct-entry
University of Greenwich,Accounting and Finance,Business with Accounting (Year 3 Direct Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-accounting-year-3-direct-entry
University of Greenwich,Accounting and Finance,Business with Finance (Year 2 & 3 Direct Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-finance-year-3-direct-entry
University of Greenwich,Business and Management,Business with Marketing (Year 2 & 3 Direct Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-marketing-year-3-direct-entry
University of Greenwich,Health Professions,Health and Social Care (Top-Up),BA,https://www.gre.ac.uk/undergraduate-courses/eduhea/health-social-care-ba-hons-top-up
University of Greenwich,"Hospitality, Event Management and Tourism",Hospitality Management (Year 2 & 3 Direct Entry),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/hospitality-management-year-2-entry-ba-hons
University of Greenwich,Accounting and Finance,Accounting and Finance (Year 2 & 3 Direct Entry) (Sandwich),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/accounting-finance-year-three-direct-entry
University of Greenwich,Accounting and Finance,Accounting and Business Analytics,BA,https://www.gre.ac.uk/undergraduate-courses/business-school/accounting-and-business-analytics-ba-hons
University of Greenwich,Business and Management,Business Logistics and Supply Chain Management,BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-logistics-and-supply-chain-management-ba-hons
University of Greenwich,Marketing,Digital Marketing and Advertising,BA,https://www.gre.ac.uk/undergraduate-courses/business-school/digital-marketing-and-advertising-ba-hons
University of Greenwich,"Hospitality, Event Management and Tourism",Events Management and Innovation,BA,https://www.gre.ac.uk/undergraduate-courses/business-school/events-management-and-innovation-ba
University of Greenwich,"Hospitality, Event Management and Tourism",International Tourism and Hospitality Management,BA,https://www.gre.ac.uk/undergraduate-courses/business-school/international-tourism-and-hospitality-management-ba-hons#fees
University of Greenwich,Accounting and Finance,Business Management (Finance),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-finance-ba-hons
University of Greenwich,Business and Management,Business Management (Marketing),BA,https://www.gre.ac.uk/undergraduate-courses/business-school/business-management-marketing-ba-hons
