uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Huddersfield,Accounting and Finance,Business Accounting (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/business-accounting-top-up-ba-hons
University of Huddersfield,Business and Management,Business Administration and Management (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/business-administration-and-management-top-up-ba-hons
University of Huddersfield,Business and Management,International Business (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/international-business-top-up-ba-hons
University of Huddersfield,Accounting and Finance,International Accountancy (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/international-accountancy-top-up-ba-hons
University of Huddersfield,Accounting and Finance,Business with Financial Services (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/business-with-financial-services-top-up-ba-hons
University of Huddersfield,Computer Science,Education Human Resource Development and Training (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/education-human-resource-development-and-training-top-up-ba-hons
University of Huddersfield,Marketing,Global Marketing (Top-Up),BA,https://courses.hud.ac.uk/2024-25/full-time/undergraduate/global-marketing-top-up-ba-hons
University of Huddersfield,Accounting and Finance,International Trade and Investment (Top-Up),BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/international-trade-and-investment-top-up-ba-hons
University of Huddersfield,Development Studies,Education and Professional Development,BA,https://courses.hud.ac.uk/2025-26/part-time/undergraduate/education-and-professional-development-ba-ba-hons
University of Huddersfield,Creative Writing,Acting and Performance with Creative Writing,BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/acting-and-performance-with-creative-writing-ba-hons
University of Huddersfield,English Literature,"Acting, Performance and English Literature",BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/acting-performance-and-english-literature-ba-hons
University of Huddersfield,Business and Management,Business and Digital Marketing Management,BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/business-and-digital-marketing-management-ba-hons
University of Huddersfield,Business and Management,Business Management,BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/business-management-ba-hons
University of Huddersfield,Accounting and Finance,Business Management with Finance,BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/business-management-with-finance-ba-hons
University of Huddersfield,Music,Creative Music Production,BA,https://courses.hud.ac.uk/2025-26/full-time/undergraduate/creative-music-production-ba-hons
