uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Hull,Education,Secondary Teaching Studies (Geography),BA,https://www.hull.ac.uk/study/undergraduate/secondary-teaching-studies-geography-ba-hons?year=2025&opt=standard
University of Hull,Education,Secondary Teaching Studies (History),BA,https://www.hull.ac.uk/study/undergraduate/secondary-teaching-studies-history-ba-hons?year=2025&opt=standard
University of Hull,Drama and Dance,Drama,BA,https://www.hull.ac.uk/study/undergraduate/drama-ba-hons?year=2025&opt=standard
University of Hull,Business and Management,Business Management with Human Resource Management,BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-human-resource-management-ba-hons
University of Hull,Business and Management,Business Management with Human Resource Management (with Year Abroad),BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-human-resource-management-ba-hons?var=year-abroad&d=2024
University of Hull,Business and Management,Business Management with Logistics and Supply Chain,BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-logistics-and-supply-chain-ba-hons
University of Hull,Business and Management,Business Management with Marketing,BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-marketing-ba-hons
University of Hull,Drama and Dance,Drama and Theatre Practice,BA,https://www.hull.ac.uk/study/undergraduate/drama-and-theatre-practice-ba-hons
University of Hull,Product Design,Media Production,BA,https://www.hull.ac.uk/study/undergraduate/media-production-ba-hons?year=2025&opt=standard
University of Hull,Business and Management,Business Economics,BA,https://www.hull.ac.uk/study/undergraduate/business-economics-ba-hons?year=2025&opt=standard
University of Hull,Accounting and Finance,Business Management with Accounting,BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-accounting-ba-hons?year=2025&opt=standard
University of Hull,Business and Management,Business Management with Entrepreneurship,BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-entrepreneurship-ba-hons?year=2025&opt=standard
University of Hull,Accounting and Finance,Business Management with Financial Management,BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-financial-management-ba-hons?year=2025&opt=standard
University of Hull,Accounting and Finance,Business Management with Financial Management (With Year Abroad),BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-financial-management-ba-hons?year=2025&opt=year-abroad
University of Hull,Creative Writing,Creative Writing and English,BA,https://www.hull.ac.uk/study/undergraduate/creative-writing-and-english-ba-hons?year=2025&opt=standard
University of Hull,Creative Writing,Creative Writing and Film Studies,BA,https://www.hull.ac.uk/study/undergraduate/creative-writing-and-film-studies-ba-hons?year=2025&opt=standard
University of Hull,Criminology,Criminology with Forensic Science,BA,https://www.hull.ac.uk/study/undergraduate/criminology-with-forensic-science-ba-hons?year=2025&opt=standard
University of Hull,Criminology,Criminology with Law,BA,https://www.hull.ac.uk/study/undergraduate/criminology-with-law-ba-hons?year=2025&opt=standard
University of Hull,Criminology,Criminology with Psychology,BA,https://www.hull.ac.uk/study/undergraduate/criminology-with-psychology-ba-hons?year=2025&opt=standard
University of Hull,Geography,Geography,BA,https://www.hull.ac.uk/study/undergraduate/geography-ba-hons?year=2025&opt=standard
University of Hull,Graphic Design,Graphic Design,BA,https://www.hull.ac.uk/study/undergraduate/graphic-design-ba-hons?year=2025&opt=standard
University of Hull,Politics,History and Politics,BA,https://www.hull.ac.uk/study/undergraduate/history-and-politics-ba-hons?year=2025&opt=standard
University of Hull,Business and Management,International Business,BA,https://www.hull.ac.uk/study/undergraduate/international-business-ba-hons?year=2025&opt=standard
University of Hull,Marketing,Marketing,BA,https://www.hull.ac.uk/study/undergraduate/marketing-ba-hons?year=2025&opt=standard
University of Hull,Management,Marketing and Management,BA,https://www.hull.ac.uk/study/undergraduate/marketing-and-management-ba-hons?year=2025&opt=standard
University of Hull,Music,Music,BA,https://www.hull.ac.uk/study/undergraduate/music-ba-hons?year=2025&opt=standard
University of Hull,Education,Music (Community and Education),BA,https://www.hull.ac.uk/study/undergraduate/music-community-and-education-ba-hons?year=2025&opt=standard
University of Hull,Music,Music (Performance),BA,https://www.hull.ac.uk/study/undergraduate/music-performance-ba-hons?year=2025&opt=standard
University of Hull,Music,Music (Popular Music),BA,https://www.hull.ac.uk/study/undergraduate/music-popular-music-ba-hons?year=2025&opt=standard
University of Hull,Music,Music (Songwriting),BA,https://www.hull.ac.uk/study/undergraduate/music-songwriting-ba-hons?year=2025&opt=standard
University of Hull,Music,Music Production,BA,https://www.hull.ac.uk/study/undergraduate/music-production-ba-hons?year=2025&opt=standard
University of Hull,Politics,Politics,BA,https://www.hull.ac.uk/study/undergraduate/politics-ba-hons?year=2025&opt=standard
University of Hull,International Relations,Politics and International Relations,BA,https://www.hull.ac.uk/study/undergraduate/politics-and-international-relations-ba-hons?year=2025&opt=standard
University of Hull,Economics,"Politics, Philosophy and Economics",BA,https://www.hull.ac.uk/study/undergraduate/politics-philosophy-and-economics-ba-hons?year=2025&opt=standard
University of Hull,Criminology,Criminology and Sociology,BA,https://www.hull.ac.uk/study/undergraduate/criminology-and-sociology-ba-hons?year=2025&opt=foundation
University of Hull,Music,Music (Popular Music),BA,https://www.hull.ac.uk/study/undergraduate/music-popular-music-ba-hons?year=2025&opt=foundation
University of Hull,Graphic Design,Graphic Design (with Foundation Year),BA,https://www.hull.ac.uk/study/undergraduate/graphic-design-ba-hons?year=2025&opt=foundation
University of Hull,Music,Music (Performance) (with Foundation Year),BA,https://www.hull.ac.uk/study/undergraduate/music-performance-ba-hons?year=2025&opt=foundation
University of Hull,Business and Management,Business Management with Entrepreneurship (with Placement Year),BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-entrepreneurship-ba-hons?year=2025&opt=placement-year
University of Hull,Business and Management,Business Management with Human Resource Management (with Foundation Year),BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-human-resource-management-ba-hons?var=foundation&d=2024
University of Hull,Business and Management,Business Management with Logistics and Supply Chain (with Foundation Year),BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-logistics-and-supply-chain-ba-hons?var=foundation&d=2024
University of Hull,Business and Management,Business Management with Logistics and Supply Chain (with Placement Year),BA,https://www.hull.ac.uk/study/undergraduate/business-management-with-logistics-and-supply-chain-ba-hons?var=industrial-placement&d=2024
