uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Law,Business and Management,Business Management (Top up),BSc,https://www.law.ac.uk/study/undergraduate/business/bsc-hons-business-management-top-up/
University of Law,Computer Science,Computer Science,BSc,https://www.law.ac.uk/study/undergraduate/computer-science/bsc-hons-computer-science/
University of Law,Accounting and Finance,Accounting with Finance,FDA,https://www.law.ac.uk/study/undergraduate/business/bsc-hons-accounting-with-finance/
University of Law,Business and Management,Business Management,FDA,https://www.law.ac.uk/study/undergraduate/business/bsc-hons-business-management/
University of Law,Business and Management,Business Management with Law,FDA,https://www.law.ac.uk/study/undergraduate/business/bsc-hons-business-management-with-law/
University of Law,Business and Management,Business Management with Marketing,FDA,https://www.law.ac.uk/study/undergraduate/business/bsc-hons-business-management-with-marketing/
University of Law,Criminology,Criminology and Policing,FDA,https://www.law.ac.uk/study/undergraduate/criminology/ba-hons-criminology-and-policing/
University of Law,Business and Management,International Strategic Business Management,FDA,https://www.law.ac.uk/study/undergraduate/business/bsc-hons-international-strategic-business-management/
University of Law,Law,Law,FDA,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law/
University of Law,Business and Management,Law with Business,FDA,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law-with-business/
University of Law,Criminology,Law with Criminology,FDA,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law-with-criminology/
University of Law,Business and Management,Law with International Business,FDA,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law-with-international-business/
University of Law,Psychology,Psychology,FDA,https://www.law.ac.uk/study/undergraduate/psychology/bsc-hons-psychology/
University of Law,Criminology,Psychology with Criminology,FDA,https://www.law.ac.uk/study/undergraduate/psychology/bsc-hons-psychology-with-criminology/
University of Law,Law,Law (International Foundation),FDA,https://www.law.ac.uk/study/undergraduate/law/international-law-foundation-programme/online/
University of Law,Business and Management,Business (International Foundation),FDA,https://www.law.ac.uk/study/undergraduate/business/international-business-foundation-programme/online/
University of Law,Law,Law (Conversion) (9 Months),GDip,https://www.law.ac.uk/study/postgraduate/law/pgdl/online/?
University of Law,Law,Law (Conversion),GDip,https://www.law.ac.uk/study/postgraduate/law/pgdl/
University of Law,Law,Law Senior Status (Online),LLB,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law-senior-status/online/
University of Law,Law,Law Senior Status,LLB,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law-senior-status/
University of Law,Law,Law (Accelerated),LLB,https://www.law.ac.uk/study/undergraduate/law/accelerated-llb-hons-law/
University of Law,Law,Law Online,LLB,https://www.law.ac.uk/study/undergraduate/law/llb-hons-law/online/
University of Law,Accounting and Finance,Banking and Debt Finance,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-banking-and-debt-finance/
University of Law,Law,Company Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-company-law/
University of Law,Law,Employment Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-employment-law/
University of Law,Law,Environmental Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-environmental-law/
University of Law,Law,Family Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-family-law/
University of Law,Health Professions,Healthcare Regulation,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-healthcare-regulations/
University of Law,Law,Immigration Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-immigration-law/
University of Law,Law,Insolvency Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-insolvency-law/
University of Law,Law,Insurance Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-insurance-law/
University of Law,Law,International and Comparative Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-and-comparative-law/
University of Law,Law,International Arbitration,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-arbitration/
University of Law,Business and Management,International Business Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-business-law/
University of Law,Law,International Commercial Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-commercial-law/
University of Law,Criminology,International Criminal Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-criminal-law/
University of Law,Law,International Energy Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-energy-law/
University of Law,Accounting and Finance,International Finance Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-finance-law/
University of Law,Law,International Human Rights Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-human-rights-law/
University of Law,Law,Law (International),LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-law/
University of Law,Law,Laws (General),LLM,https://www.law.ac.uk/study/postgraduate/law/llm-master-of-laws-general/
University of Law,Law,Legal Practice (SQE1&2),LLM,https://www.law.ac.uk/study/postgraduate/law/llm-sqe-1-and-2/
University of Law,Law,"Media Law, Privacy and Defamation",LLM,https://www.law.ac.uk/study/postgraduate/law/llm-media-law-and-defamation/
University of Law,Law,Mediation and Alternative Dispute Resolution,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-mediation-and-alternative-dispute-resolution/
University of Law,Law,Medical Law and Ethics,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-medical-law-and-ethics/
University of Law,Health Professions,Mental Health Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-mental-health-law/
University of Law,Law,Public International Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-public-international-law/
University of Law,Law,Maritime Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-maritime-law/
University of Law,Law,International Medical Law,LLM,https://www.law.ac.uk/study/postgraduate/law/llm-international-medical-law/
