uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Roehampton,Journalism,Journalism,BA,https://www.roehampton.ac.uk/study/undergraduate-courses/journalism/
University of Roehampton,Journalism,English and Journalism (with Placement),BA,https://www.roehampton.ac.uk/study/undergraduate-courses/english-and-journalism/
University of Roehampton,International Relations,Politics and International Relations,BA,https://www.roehampton.ac.uk/study/undergraduate-courses/politics-and-international-relations/
University of Roehampton,History,History and English,BA,https://www.roehampton.ac.uk/study/undergraduate-courses/history-and-english/
University of Roehampton,International Relations,International Relations and Economics,BA,https://www.roehampton.ac.uk/study/undergraduate-courses/international-relations-and-economics/
University of Roehampton,History,"Politics, International Relations, and History",BA,https://www.roehampton.ac.uk/study/undergraduate-courses/politics-international-relations-and-history/
University of Roehampton,Animation,Animation,BA,https://www.roehampton.ac.uk/undergraduate-courses/animation/
University of Roehampton,Drama and Dance,Dance,BA,https://www.roehampton.ac.uk/undergraduate-courses/dance/
University of Roehampton,Accounting and Finance,Accounting Studies (Top-up),BSc,https://www.roehampton.ac.uk/undergraduate-courses/accounting-studies/
University of Roehampton,Business and Management,Business Management (Top-up),BSc,https://www.roehampton.ac.uk/undergraduate-courses/business-management-top-up/
University of Roehampton,Business and Management,Business Management and Economics (Top-up),BSc,https://www.roehampton.ac.uk/undergraduate-courses/business-management-and-economics-top-up/
University of Roehampton,Business and Management,Business Management and Entrepreneurship (Top-up),BSc,https://www.roehampton.ac.uk/undergraduate-courses/business-management-and-entrepreneurship-top-up/
University of Roehampton,Accounting and Finance,Business Management and Finance (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management-and-finance-top-up/
University of Roehampton,Business and Management,Business Management and Marketing (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management-and-marketing-top-up/
University of Roehampton,Computer Science,Computer Science (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/computer-science-top-up/
University of Roehampton,Accounting and Finance,International Business and Finance (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/international-business-and-finance-top-up/
University of Roehampton,Marketing,Marketing (Top-up),BSc,https://www.roehampton.ac.uk/undergraduate-courses/marketing-top-up/
University of Roehampton,Business and Management,International Business (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/international-business-top-up/
University of Roehampton,Computer Science,Computer Science,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/computer-science/
University of Roehampton,Computer Science,Cyber Security,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/cybersecurity/
University of Roehampton,Business and Management,Business and Computing (with Placement Year),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/computing-and-business/
University of Roehampton,Other,Physiotherapy (Pre-Registration),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/physiotherapy/
University of Roehampton,Accounting and Finance,Accounting,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/accounting/
University of Roehampton,Computer Science,Computer Games Programming,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/computer-games-programming/
University of Roehampton,Computer Science,Computing and Digital Technologies,BSc,https://www.roehampton.ac.uk/undergraduate-courses/computing-and-digital-technologies/
University of Roehampton,Business and Management,International Business,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/international-business/
University of Roehampton,Criminology,Psychology and Criminal Justice,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/psychology-forensic-and-criminal/
University of Roehampton,Development Studies,Web Design and Development (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/web-design-and-development-top-up/
University of Roehampton,Accounting and Finance,Finance and Accounting,BSc,https://www.roehampton.ac.uk/undergraduate-courses/finance-and-accounting/
University of Roehampton,Computer Science,Cyber Security (Top-up),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/cyber-security-top-up/
University of Roehampton,Nursing,Adult Nursing,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/adult-nursing/
University of Roehampton,Nursing,Children's Nursing,BSc,https://www.roehampton.ac.uk/undergraduate-courses/childrens-nursing/
University of Roehampton,Health Professions,Mental Health Nursing,BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/mental-health-nursing/
University of Roehampton,Health Professions,Psychology (Clinical and Mental Health) (with Foundation Year),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/psychology-clinical-and-mental-health/
University of Roehampton,Business and Management,Business Management (with Placement Year),BSc,https://www.roehampton.ac.uk/undergraduate-courses/business-management/
University of Roehampton,Business and Management,Business Management and Entrepreneurship (with Placement Year),BSc,https://www.roehampton.ac.uk/undergraduate-courses/business-management-and-entrepreneurship/
University of Roehampton,Computer Science,Computer Games Programming (with Foundation Year),BSc,https://www.roehampton.ac.uk/undergraduate-courses/computer-games-programming/
University of Roehampton,Computer Science,Computing and Digital Technologies (with Placement Year),BSc,https://www.roehampton.ac.uk/study/undergraduate-courses/computing-and-digital-technologies/
University of Roehampton,Education,Psychology and Education Practice,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/psychology-and-education-practice/
University of Roehampton,Business and Management,International Year One in Business,FDA,https://www.roehampton.ac.uk/study/academic-areas/continuing-education/international-pathways/international-year-one-in-business/
University of Roehampton,Health Professions,International Foundation Pathway (Health and Life Sciences),FDA,https://www.roehampton.ac.uk/study/foundation-studies/health-and-life-sciences-international-foundation-pathway/
University of Roehampton,Psychology,International Foundation Pathway (Psychology),FDA,https://www.roehampton.ac.uk/study/foundation-studies/psychology-international-foundation-pathway/
University of Roehampton,Sports Science,International Foundation Pathway (Sport),FDA,https://www.roehampton.ac.uk/study/foundation-studies/sport-international-foundation-pathway/
University of Roehampton,General Engineering,International Foundation Pathway (Sustainable Engineering and Technology),FDA,https://www.roehampton.ac.uk/study/foundation-studies/sustainable-engineering-and-technology-international-foundation-pathway/
University of Roehampton,Biomedical Science,International Foundation Pathway (Biomedical Science),FDA,https://www.roehampton.ac.uk/study/foundation-studies/biomedical-science-international-foundation-pathway/
University of Roehampton,Health Professions,International Foundation Pathway (Health and Social Care),FDA,https://www.roehampton.ac.uk/study/foundation-studies/health-and-social-care-international-foundation-pathway/
University of Roehampton,Nursing,Nursing Associate,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/nursing-associate/
University of Roehampton,Criminology,Criminology and Sociology,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/criminology-and-sociology/
University of Roehampton,Criminology,Criminology with Digital Forensics,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/criminology-with-digital-forensics/
University of Roehampton,Graphic Design,Graphic Design,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/graphic-design/
University of Roehampton,Business and Management,Business Management and Economics,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management-and-economics/
University of Roehampton,Accounting and Finance,Business Management and Finance,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management-and-finance/
University of Roehampton,Business and Management,Business Management and Marketing,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management-and-marketing/
University of Roehampton,Criminology,Criminology,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/criminology/
University of Roehampton,Economics,Economics,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/economics/
University of Roehampton,English Literature,English Literature,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/english-literature/
University of Roehampton,Film Production,Film Production,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/film-production/
University of Roehampton,Development Studies,Web Design and Development,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/web-design-and-development/
University of Roehampton,Zoology,Zoology,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/zoology/
University of Roehampton,Business and Management,Business International,FDA,https://www.roehampton.ac.uk/study/foundation-studies/business-international-foundation-pathway/
University of Roehampton,Law,International Foundation Pathway (Law),FDA,https://www.roehampton.ac.uk/study/foundation-studies/law-international-foundation-pathway/
University of Roehampton,Psychology,Psychology,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/psychology/
University of Roehampton,Psychology,Psychology and Coaching,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/psychology-and-coaching/
University of Roehampton,Civil Engineering,Civil Engineering,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/civil-engineering/
University of Roehampton,Management,Construction Management,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/construction-management/
University of Roehampton,General Engineering,Architectural Engineering,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/architectural-engineering/
University of Roehampton,Accounting and Finance,Accounting,FDA,https://www.roehampton.ac.uk/undergraduate-courses/accounting/
University of Roehampton,Business and Management,Business Management,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management/
University of Roehampton,Business and Management,Business Management and Entrepreneurship,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/business-management-and-entrepreneurship/
University of Roehampton,Criminology,Criminology and Policing,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/criminology-and-policing/
University of Roehampton,Education,Early Childhood Studies,FDA,https://www.roehampton.ac.uk/undergraduate-courses/early-childhood-studies/
University of Roehampton,History,History,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/history/
University of Roehampton,Management,Human Resource Management,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/human-resource-management/
University of Roehampton,Business and Management,International Business,FDA,https://www.roehampton.ac.uk/undergraduate-courses/international-business/
University of Roehampton,Law,Law,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/law/
University of Roehampton,Marketing,Marketing,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/marketing/
University of Roehampton,Health Professions,Nutrition and Health,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/nutrition-and-health/
University of Roehampton,Education,Education,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/education/
University of Roehampton,General Engineering,Software Engineering,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/software-engineering/
University of Roehampton,Sports Science,Sport and Exercise Sciences,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/sport-and-exercise-sciences/
University of Roehampton,Management,Sports Management,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/sports-management/
University of Roehampton,Sports Science,Sports Therapy,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/sports-therapy/
University of Roehampton,Fashion and Textiles,Fashion Management,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/fashion-management/
University of Roehampton,Fashion and Textiles,Fashion Marketing,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/fashion-marketing/
University of Roehampton,Law,Law with Politics,FDA,https://www.roehampton.ac.uk/study/undergraduate-courses/llb-law-with-politics/
University of Roehampton,Criminology,Law with Criminal Justice,LLB,https://www.roehampton.ac.uk/study/undergraduate-courses/law-with-criminal-justice/
University of Roehampton,Criminology,Law and Criminal Justice (with Placement Year),LLB,https://www.roehampton.ac.uk/study/undergraduate-courses/law-and-criminal-justice/
University of Roehampton,Law,Human Rights and International Law,LLM,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/llm-human-rights-and-legal-practice/
University of Roehampton,Law,International Commercial Law,LLM,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/llm-international-commercial-law-and-legal-practice/
University of Roehampton,International Relations,Human Rights and International Relations (with Placement Year),LLM,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/human-rights-and-international-relations/
University of Roehampton,Drama and Dance,"Choreomundus: International Master in Dance Knowledge, Practice and Heritage",MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/choreomundus/
University of Roehampton,Creative Writing,Creative Writing,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/creative-writing/
University of Roehampton,Criminology,Criminology and Criminal Justice,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/criminology/
University of Roehampton,Drama and Dance,Dance Practice and Performance,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/dance-practice-and-performance/
University of Roehampton,Management,Education Leadership and Management,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/education-leadership-and-management/
University of Roehampton,International Relations,International Relations,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/international-relations/
University of Roehampton,Film Production,Filmmaking,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/filmmaking/
University of Roehampton,Other,Art Psychotherapy,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/art-psychotherapy/
University of Roehampton,Drama and Dance,Dance Movement Psychotherapy,MA,https://www.roehampton.ac.uk/postgraduate-courses/dance-movement-psychotherapy/
University of Roehampton,Music,Music Therapy,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/music-therapy/
University of Roehampton,Other,Integrative Counselling and Psychotherapy,MA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/integrative-counselling-and-psychotherapy/
University of Roehampton,Business and Management,MBA,MBA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/mba/
University of Roehampton,Health Professions,MBA (Healthcare Management),MBA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/mba-healthcare-management/
University of Roehampton,Drama and Dance,Dance and Embodied Practice,MFA,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/dance-and-embodied-practice/
University of Roehampton,Health Professions,Neuroscience and Mental Health,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/neuroscience-and-mental-health/
University of Roehampton,Accounting and Finance,"Banking, Finance and Risk Management",MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/banking-finance-and-risk-management/
University of Roehampton,Computer Science,Computing,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/computing/
University of Roehampton,Computer Science,Cyber Security,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/cyber-security/
University of Roehampton,Computer Science,Data Science,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/data-science/
University of Roehampton,Marketing,Digital Marketing,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/digital-marketing/
University of Roehampton,Psychology,Forensic Psychology,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/forensic-psychology/
University of Roehampton,Business and Management,Global Business Management,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/global-business-management/
University of Roehampton,Accounting and Finance,Global Financial Management,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/global-financial-management/
University of Roehampton,Management,Global Human Resource Management,MSc,https://www.roehampton.ac.uk/study/postgraduate-taught-courses/global-human-resources-management/
