uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Salford,Marketing,Marketing,BA,https://www.salford.ac.uk/courses/undergraduate/marketing
University of Salford,Politics,Contemporary History and Politics (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/contemporary-history-and-politics
University of Salford,International Relations,International Relations and Politics (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/international-relations-and-politics
University of Salford,Creative Writing,Creative Writing (Multidiscipline) (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/creative-writing-multidiscipline
University of Salford,Computer Science,Creative Computing (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/creative-computing
University of Salford,Drama and Dance,Dance (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/dance
University of Salford,Marketing,Digital Video Production and Marketing (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/digital-video-production-and-marketing
University of Salford,Business and Management,Fashion Business and Promotion (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/fashion-business-and-promotion
University of Salford,Interior Design,Interior Design (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/interior-design
University of Salford,Sports Science,Sports Journalism (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/sports-journalism
University of Salford,Product Design,Television and Radio Production (with Work Placement),BA,https://www.salford.ac.uk/courses/undergraduate/television-and-radio-production
University of Salford,Film Production,English and Film,BA,https://www.salford.ac.uk/courses/undergraduate/english-and-film
University of Salford,Education,Film Studies,BA,https://www.salford.ac.uk/courses/undergraduate/film-studies
University of Salford,English Literature,English Literature,BA,https://www.salford.ac.uk/courses/undergraduate/english-literature
University of Salford,Animation,Animation,BA,https://www.salford.ac.uk/courses/undergraduate/animation
University of Salford,Film Production,Film Production,BA,https://www.salford.ac.uk/courses/undergraduate/film-production
University of Salford,Film Production,"Film, TV and Stage Design",BA,https://www.salford.ac.uk/courses/undergraduate/film-tv-and-stage-design
University of Salford,Fine Art,Fine Art,BA,https://www.salford.ac.uk/courses/undergraduate/fine-art
University of Salford,Graphic Design,Graphic Design,BA,https://www.salford.ac.uk/courses/undergraduate/graphic-design
University of Salford,Management,Music Management and Creative Enterprise,BA,https://www.salford.ac.uk/courses/undergraduate/music-management-and-creative-enterprise
University of Salford,Music,Music: Creative Music Technology,BA,https://www.salford.ac.uk/courses/undergraduate/music-creative-music-technology
University of Salford,Music,Music: Popular Music & Recording,BA,https://www.salford.ac.uk/courses/undergraduate/music-popular-music-recording
University of Salford,Product Design,Technical Theatre (Production and Design),BA,https://www.salford.ac.uk/courses/undergraduate/technical-theatre-production-and-design
