uniName,programmeName,courseName,degreeName,courseUrlExternal
University of South Wales,Business and Management,International Business (Top-Up),BA,https://www.southwales.ac.uk/courses/ba-hons-international-business-top-up/
University of South Wales,Accounting and Finance,Business Management (Accounting and Finance) (Top-Up),BA,https://www.southwales.ac.uk/courses/ba-hons-business-management-accounting-and-finance-top-up/
University of South Wales,Business and Management,Business Management (Human Resource Management) (Top-Up),BA,https://www.southwales.ac.uk/courses/ba-hons-business-management-human-resource-management-top-up/
University of South Wales,Business and Management,Business Management (Marketing) (Top-Up),BA,https://www.southwales.ac.uk/courses/ba-hons-business-management-marketing-top-up/
University of South Wales,Business and Management,Business Management (Supply Chain Management) (Top-Up),BA,https://www.southwales.ac.uk/courses/ba-hons-business-management-supply-chain-management-top-up/
University of South Wales,Business and Management,Business Management (Top-Up),BA,https://www.southwales.ac.uk/courses/ba-hons-business-management-top-up/
University of South Wales,Marketing,Fashion Marketing,BA,https://www.southwales.ac.uk/courses/ba-fashion-marketing/
University of South Wales,Business and Management,Business and Management,BA,https://www.southwales.ac.uk/courses/ba-hons-business-and-management/
University of South Wales,Accounting and Finance,Accounting and Finance,BA,https://www.southwales.ac.uk/courses/ba-hons-accounting-and-finance/
University of South Wales,Animation,Animation (2D and Stop Motion),BA,https://www.southwales.ac.uk/courses/ba-hons-animation-2d-and-stop-motion/
University of South Wales,Animation,Computer Animation,BA,https://www.southwales.ac.uk/courses/ba-hons-computer-animation/
University of South Wales,Computer Science,Computer Games Design,BA,https://www.southwales.ac.uk/courses/ba-hons-computer-games-design/
University of South Wales,Film Production,Film,BA,https://www.southwales.ac.uk/courses/ba-hons-film/
University of South Wales,Interior Design,Interior Design,BA,https://www.southwales.ac.uk/courses/ba-hons-interior-design/
University of South Wales,Product Design,Media Production,BA,https://www.southwales.ac.uk/courses/ba-hons-media-production/
University of South Wales,Business and Management,Music Business,BA,https://www.southwales.ac.uk/courses/ba-hons-music-business/
University of South Wales,Music,Music Producing,BA,https://www.southwales.ac.uk/courses/ba-hons-music-producing/
University of South Wales,Music,Popular and Commercial Music,BA,https://www.southwales.ac.uk/courses/ba-hons-popular-and-commercial-music/
University of South Wales,Business and Management,Sports Business and Management,BA,https://www.southwales.ac.uk/courses/ba-hons-sports-business-and-management/
University of South Wales,Sports Science,Sports Journalism,BA,https://www.southwales.ac.uk/courses/ba-hons-sports-journalism/
University of South Wales,Drama and Dance,Theatre and Drama,BA,https://www.southwales.ac.uk/courses/ba-hons-theatre-and-drama/
University of South Wales,Film Production,TV and Film Set Design,BA,https://www.southwales.ac.uk/courses/ba-hons-tv-and-film-set-design/
University of South Wales,General Engineering,Mechanical Systems Engineering (Sandwich),BA,https://www.southwales.ac.uk/courses/ba-hons-photography/
University of South Wales,Civil Engineering,Civil and Construction Engineering,BEng,https://www.southwales.ac.uk/courses/beng-hons-civil-and-construction-engineering/
University of South Wales,General Engineering,Mechanical Systems Engineering,BEng,https://www.southwales.ac.uk/courses/beng-hons-mechanical-systems-engineering/
University of South Wales,General Engineering,Aeronautical Engineering,BEng,https://www.southwales.ac.uk/courses/beng-hons-aeronautical-engineering/
University of South Wales,Aerospace Engineering,Aerospace Engineering,BEng,https://www.southwales.ac.uk/courses/beng-hons-aerospace-engineering/
University of South Wales,Civil Engineering,Civil Engineering (3 Years),BEng,https://www.southwales.ac.uk/courses/beng-hons-civil-engineering/
University of South Wales,Electrical Engineering,Electrical and Electronic Engineering,BEng,https://www.southwales.ac.uk/courses/beng-hons-electrical-and-electronic-engineering/
University of South Wales,General Engineering,Mechanical Engineering,BEng,https://www.southwales.ac.uk/courses/beng-hons-mechanical-engineering/
University of South Wales,Computer Science,Aircraft Engineering and Maintenance Systems (Top-Up),BSc,https://www.southwales.ac.uk/courses/bsc-hons-aircraft-engineering-and-maintenance-systems-top-up/
University of South Wales,Computer Science,Applied Computing (Top-Up),BSc,https://www.southwales.ac.uk/courses/bsc-hons-applied-computing-top-up/
University of South Wales,Music,Creative Industries (Popular Music Technology) (Top-Up),BSc,https://www.southwales.ac.uk/courses/bsc-hons-creative-industries-popular-music-technology-topup/
University of South Wales,Electrical Engineering,Electrical and Electronic Engineering (Top-Up),BSc,https://www.southwales.ac.uk/courses/bsc-hons-electrical-and-electronic-engineering-top-up/
University of South Wales,Development Studies,Sports Coaching and Development (Top-Up),BSc,https://www.southwales.ac.uk/courses/bsc-hons-sports-coaching-and-development-top-up/
University of South Wales,Computer Science,"Logistics, Procurement and Supply Chain Management",BSc,https://www.southwales.ac.uk/courses/bsc-hons-logistics-procurement-and-supply-chain-management/
University of South Wales,Marketing,Marketing,BSc,https://www.southwales.ac.uk/courses/bsc-hons-marketing/
University of South Wales,Computer Science,Aircraft Maintenance Engineering,BSc,https://www.southwales.ac.uk/courses/bsc-hons-aircraft-maintenance-engineering/
University of South Wales,Development Studies,"Football Coaching, Development and Administration",BSc,https://www.southwales.ac.uk/courses/bsc-hons-football-coaching-development-and-administration/
University of South Wales,Midwifery,Midwifery,BSc,https://www.southwales.ac.uk/courses/bsc-hons-midwifery/
University of South Wales,Nursing,Nursing (Adult),BSc,https://www.southwales.ac.uk/courses/bsc-hons-nursing-adult/
University of South Wales,Nursing,Nursing (Child),BSc,https://www.southwales.ac.uk/courses/bsc-hons-nursing-child/
