uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Suffolk,Business and Management,Business Management (Top-Up),BA,https://www.uos.ac.uk/study/ba-business-management-top-up/
University of Suffolk,Film Production,Visual Effects and Post-Production (Film) (Progression Year),BA,https://www.uos.ac.uk/study/ba-visual-effects-post-production-film-pr/
University of Suffolk,Business and Management,Business Management (with Placement Year),BA,https://www.uos.ac.uk/study/ba-business-management/
University of Suffolk,Sports Science,Esports,BA,https://www.uos.ac.uk/study/ba-esports/
University of Suffolk,Creative Writing,Literary Studies with Creative Writing,BA,https://www.uos.ac.uk/study/ba-lit-studies-creative-writing/
University of Suffolk,Law,"Crime, Justice and Society",BA,https://www.uos.ac.uk/study/ba-crime-justice-society/
University of Suffolk,Film Production,Digital Film Production,BA,https://www.uos.ac.uk/study/ba-digital-film-production/
University of Suffolk,Fine Art,Fine Art,BA,https://www.uos.ac.uk/study/ba-fine-art/
University of Suffolk,Architecture,Architecture (ARB Part 1),BA,https://www.uos.ac.uk/study/ba-architecture/
University of Suffolk,Computer Science,Sustainable Futures (Progression Year),BSc,https://www.uos.ac.uk/study/bsc-sustainable-futures-py/
University of Suffolk,Computer Science,Conservation Science and Sustainability,BSc,https://www.uos.ac.uk/study/bsc-conservation-science-py/
University of Suffolk,Forensic Science,Forensic Sciences (Progression Route),BSc,https://www.uos.ac.uk/study/bsc-forensic-sciences/
University of Suffolk,Health Professions,"Sport, Health and Exercise (Progression Year)",BSc,https://www.uos.ac.uk/study/bsc-sport-health-exercise/
University of Suffolk,Civil Engineering,Civil Engineering (Progression Route),BSc,https://www.uos.ac.uk/study/bsc-civil-engineering-py/
University of Suffolk,Accounting and Finance,Accounting and Finance,BSc,https://www.uos.ac.uk/study/bsc/accounting-and-finance/
University of Suffolk,Development Studies,Games Development,BSc,https://www.uos.ac.uk/study/bsc-games-development/
University of Suffolk,Paramedic Science,Paramedic Science,BSc,https://www.uos.ac.uk/study/bsc-paramedic-science/
University of Suffolk,Computer Science,Computer Science,BSc,https://www.uos.ac.uk/study/bsc-computer-science/
University of Suffolk,Dentistry,Dental Hygiene and Therapy,BSc,https://www.uos.ac.uk/study/bsc-dental-hygiene-and-therapy/
University of Suffolk,Computer Science,Computer Science (Artificial Intelligence),BSc,https://www.uos.ac.uk/study/bsc-computer-science-ai/
University of Suffolk,Computer Science,Computer Science (Cyber Security),BSc,https://www.uos.ac.uk/study/bsc-computer-science-cs/
University of Suffolk,Computer Science,Computer Science (Web and Mobile Development),BSc,https://www.uos.ac.uk/study/bsc-computer-science-wmd/
University of Suffolk,Biology,Biology,BSc,https://www.uos.ac.uk/study/bsc-biology/
University of Suffolk,Nursing,Adult Nursing,BSc,https://www.uos.ac.uk/study/bsc-adult-nursing/
University of Suffolk,Nursing,Children's Nursing,BSc,https://www.uos.ac.uk/study/bsc-childrens-nursing/
University of Suffolk,Health Professions,Mental Health Nursing,BSc,https://www.uos.ac.uk/study/bsc-mental-health-nursing/
University of Suffolk,Midwifery,Midwifery,BSc,https://www.uos.ac.uk/study/bsc-midwifery/
University of Suffolk,Other,Physiotherapy,BSc,https://www.uos.ac.uk/study/bsc-physiotherapy/
University of Suffolk,Health Professions,Nutrition and Human Health,BSc,https://www.uos.ac.uk/study/bsc-nutrition-human-health/
University of Suffolk,Dentistry,Dental Hygiene and Dental Therapy,BSc,https://uos.ac.uk/study/bsc-dental-hygiene-dental-therapy/
University of Suffolk,Other,Radiotherapy and Oncology,BSc,https://www.uos.ac.uk/study/bsc-radiotherapy-oncology/
University of Suffolk,Sports Science,Sport and Exercise Science,BSc,https://www.uos.ac.uk/study/bsc-sport-exercise-science/
University of Suffolk,Sports Science,Sport Performance Analysis,BSc,https://www.uos.ac.uk/study/bsc-sport-performance-analysis/
University of Suffolk,Biology,Biology (with Foundation Year),BSc,https://www.uos.ac.uk/study/bsc-biology-fy/
University of Suffolk,Health Professions,Nutrition and Human Health (with Foundation Year),BSc,https://www.uos.ac.uk/study/bsc-nutrition-human-health-fy/
University of Suffolk,Product Design,Visual Effects and Post-Production,FDA,https://www.uos.ac.uk/study/fda-visual-effects-and-post-production/
University of Suffolk,Health Professions,"Children���s Health, Play and Wellbeing",FDA,https://www.uos.ac.uk/study/fda-childrens-health-play-wellbeing/
University of Suffolk,Drama and Dance,"Social Welfare, Advice & Guidance Practice",FDA,https://www.uos.ac.uk/study/fda-social-welfare-advice-practice/
University of Suffolk,Education,Early Years and Childhood Studies,FDA,https://www.uos.ac.uk/study/fda-early-years-childhood-studies/
University of Suffolk,Biomedical Science,Biomedical Science,FdSc,https://www.uos.ac.uk/study/bsc-biomedical-science-fy/
University of Suffolk,Management,Conservation Science and Animal Management (Wildlife and Zoo),FdSc,https://www.uos.ac.uk/study/fdsc-conservation-sci-animal-management/
University of Suffolk,Forensic Science,Forensic Sciences,FdSc,https://www.uos.ac.uk/study/fdsc-forensic-sciences/
University of Suffolk,Health Professions,"Sport, Health and Exercise",FdSc,https://www.uos.ac.uk/study/fdsc-sport-health-exercise/
University of Suffolk,Civil Engineering,Civil Engineering,FdSc,https://www.uos.ac.uk/study/fdsc-civil-engineering/
University of Suffolk,Health Professions,Specialist Community Public Health Nursing,GDip,https://www.uos.ac.uk/study/pgd-specialist-community-public-health/
University of Suffolk,Law,Law,LLB,https://www.uos.ac.uk/study/llb-law/
University of Suffolk,Criminology,Law with Criminology,LLB,https://www.uos.ac.uk/study/llb-law-with-criminology/
University of Suffolk,Criminology,Criminal Law and Justice,LLM,https://www.uos.ac.uk/study/llm-criminal-law-justice/
University of Suffolk,Criminology,Criminology,MA,https://www.uos.ac.uk/study/ma-criminology/
University of Suffolk,History,History,MA,https://www.uos.ac.uk/study/ma-history/
University of Suffolk,International Relations,International Relations,MA,https://www.uos.ac.uk/study/ma-international-relations/
University of Suffolk,MBA,MBA (Executive),MBA,https://www.uos.ac.uk/study/suffolk-mba/
University of Suffolk,Business and Management,MBA,MBA,https://www.uos.ac.uk/study/mba-london-centre-uk/
University of Suffolk,Psychology,Applications of Psychology,MSc,https://www.uos.ac.uk/study/msc-applications-of-psychology/
University of Suffolk,Computer Science,Data Science and Artificial Intelligence,MSc,https://www.uos.ac.uk/study/msc-data-science-artificial-intelligence/
University of Suffolk,Business and Management,International Business and Management,MSc,https://www.uos.ac.uk/study/msc-international-business-management/
University of Suffolk,Psychology,Psychology,MSc,https://www.uos.ac.uk/study/msc-psychology/
University of Suffolk,Health Professions,Public Health Nursing,MSc,https://www.uos.ac.uk/study/msc-public-health-nursing/
University of Suffolk,Management,Strategic People Management,MSc,https://www.uos.ac.uk/study/msc-strategic-people-management/
University of Suffolk,Computer Science,Computer Science,MSc,https://www.uos.ac.uk/study/msc-computer-science/
University of Suffolk,Health Professions,Public Health and Wellbeing,MSc,https://www.uos.ac.uk/study/msc-public-health-and-wellbeing/
University of Suffolk,Computer Science,Cyber Security,MSc,https://www.uos.ac.uk/study/msc-cyber-security/
University of Suffolk,Accounting and Finance,Financial Technology,MSc,https://www.uos.ac.uk/study/msc-fin-tech/
University of Suffolk,Marketing,Digital Marketing and Data Analytics,MSc,https://www.uos.ac.uk/study/msc-digital-marketing-data-analytics/
University of Suffolk,Health Professions,Public Health,MSc,https://unicaf.uos.ac.uk/programmes/190/msc-public-health
University of Suffolk,Nursing,Adult Nursing (Pre-registration),MSc,https://www.uos.ac.uk/study/msc-adult-nursing-preregistration/
University of Suffolk,Business and Management,Business Administration,PGCE,https://www.uos.ac.uk/study/pg-business-administration/
