uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Surrey,English Literature,English Literature,BA,https://www.surrey.ac.uk/undergraduate/english-literature
University of Surrey,Creative Writing,English Literature and Creative Writing,BA,https://www.surrey.ac.uk/undergraduate/english-literature-and-creative-writing
University of Surrey,Education,English Literature and Spanish,BA,https://www.surrey.ac.uk/undergraduate/english-literature-and-spanish
University of Surrey,Music,Actor-Musician,BA,https://www.surrey.ac.uk/undergraduate/actor-musician
University of Surrey,Product Design,Theatre Production,BA,https://www.surrey.ac.uk/undergraduate/theatre-production
University of Surrey,Music,Musical Theatre,BA,https://www.surrey.ac.uk/undergraduate/musical-theatre
University of Surrey,Education,English Literature and French,BA,https://www.surrey.ac.uk/undergraduate/english-literature-and-french
University of Surrey,Film Production,Film Production and Broadcast Engineering,BEng,https://www.surrey.ac.uk/undergraduate/film-production-and-broadcast-engineering
University of Surrey,Music,Music,BMus,https://www.surrey.ac.uk/undergraduate/music
University of Surrey,Music,Music and Sound Recording (Tonmeister) (4 Years),BMus,https://www.surrey.ac.uk/undergraduate/music-and-sound-recording-tonmeister/2025
University of Surrey,Music,Creative Music Technology (with Placement),BMus,https://www.surrey.ac.uk/undergraduate/creative-music-technology
University of Surrey,Accounting and Finance,International Accounting with Finance (FHEQ Level 6 Direct Entry),BSc,https://www.surrey.ac.uk/undergraduate/international-accounting-finance-fheq-level-6-direct-entry
University of Surrey,Business and Management,International Business (FHEQ Level 6 Direct Entry),BSc,https://www.surrey.ac.uk/undergraduate/international-business-fheq-level-6-direct-entry
University of Surrey,Accounting and Finance,International Accounting with Finance (FHEQ Level 5 Direct Entry),BSc,https://www.surrey.ac.uk/undergraduate/international-accounting-finance-fheq-level-5-direct-entry
University of Surrey,Business and Management,International Business (FHEQ Level 5 Direct Entry),BSc,https://www.surrey.ac.uk/undergraduate/international-business-fheq-level-5-direct-entry
University of Surrey,Computer Science,Computer Science and Artificial Intelligence,BSc,https://www.surrey.ac.uk/undergraduate/computer-science-and-artificial-intelligence
University of Surrey,Education,Nursing Studies (Registered Nurse Adult Nursing),BSc,https://www.surrey.ac.uk/undergraduate/nursing-studies-registered-nurse-adult-nursing
University of Surrey,Midwifery,Midwifery (Registered Midwife),BSc,https://www.surrey.ac.uk/undergraduate/midwifery-registered-midwife
University of Surrey,Criminology,Criminology with Forensic Investigation,BSc,https://www.surrey.ac.uk/undergraduate/criminology-forensic-investigation
