uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Wales Trinity Saint David,Music,Musical Theatre,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/performance-dance-and-musical-theatre/musical-theatre-full-time
University of Wales Trinity Saint David,"Hospitality, Event Management and Tourism",International Travel and Tourism Management,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/hospitality-leisure-and-tourism/international-travel-and-tourism
University of Wales Trinity Saint David,Business and Management,Business Management (Birmingham),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/business-and-management/business-management-full-time-full-time-1
University of Wales Trinity Saint David,Business and Management,Business Management (Swansea),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/business-and-management/business-management-full-time-full-time
University of Wales Trinity Saint David,"Hospitality, Event Management and Tourism",Hospitality and Hotel Management,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/hospitality-leisure-and-tourism/hospitality-and-hotel-management
University of Wales Trinity Saint David,Business and Management,Business Management - Weekend Delivery (London),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/business-and-management/business-management-weekend-delivery-full-0
University of Wales Trinity Saint David,Business and Management,Business and Management (Carmarthen),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/business-and-management/business-and-management-full-time-full-time
University of Wales Trinity Saint David,Business and Management,Business Management (London),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/business-and-management/business-management-full-time-full-time-0
University of Wales Trinity Saint David,Sports Science,Sports Management (Swansea),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/sport-and-physical-activity/sports-management-full-time-full-time
University of Wales Trinity Saint David,Accounting and Finance,Accounting,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/accounting-and-finance/accounting-full-time-full-time-swansea
University of Wales Trinity Saint David,Film Production,Adventure Filmmaking,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/film-media-and-animation/adventure-filmmaking-full-time-full-time
University of Wales Trinity Saint David,Classics and Ancient History,Ancient History and Archaeology,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/history-and-archaeology/ancient-history-and-archaeology-full-time
University of Wales Trinity Saint David,Classics and Ancient History,Ancient History,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/history-and-archaeology/ancient-history-full-time-full-time
University of Wales Trinity Saint David,Animation,Animation and VFX,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/film-media-and-animation/animation-and-vfx-full-time-full-time
University of Wales Trinity Saint David,"Hospitality, Event Management and Tourism",Hospitality and Hotel Management (Distance Learning),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/hospitality-leisure-and-tourism/hospitality-and-hotel-management-2
University of Wales Trinity Saint David,Computer Science,Computer Games Design,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/film-media-and-animation/computer-games-design-full-time-full-time
University of Wales Trinity Saint David,Creative Writing,Creative Writing and English,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/english-and-creative-writing/creative-writing-and-english-full-time
University of Wales Trinity Saint David,Music,Creative Music Technology,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/performance-dance-and-musical-theatre/creative-music-technology
University of Wales Trinity Saint David,Creative Writing,Creative Writing,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/english-and-creative-writing/creative-writing-full-time-full-time
University of Wales Trinity Saint David,"Hospitality, Event Management and Tourism",Events and International Festivals Management,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/hospitality-leisure-and-tourism/events-and-international-festivals
University of Wales Trinity Saint David,Film Production,Film & TV,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/film-media-and-animation/film-tv-full-time-full-time-swansea
University of Wales Trinity Saint David,Fine Art,Fine Art: Studio Site and Context,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/art-design-and-photography/fine-art-studio-site-and-context-full
University of Wales Trinity Saint David,Business and Management,International Business Management,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/business-and-management/international-business-management-full-time
University of Wales Trinity Saint David,Sports Science,International Sports Management,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/sport-and-physical-activity/international-sports-management-full
University of Wales Trinity Saint David,Criminology,Law with Criminology,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/law-criminology-and-emergency-services/law-criminology-full-time
University of Wales Trinity Saint David,Philosophy,Philosophy and History,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/history-and-archaeology/philosophy-and-history-full-time-full-time
University of Wales Trinity Saint David,Product Design,Product and Furniture Design (3 Years),BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/art-design-and-photography/product-furniture-design-full-time
University of Wales Trinity Saint David,Product Design,Set Design and Production,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/performance-dance-and-musical-theatre/set-design-and-production
University of Wales Trinity Saint David,Accounting and Finance,International Finance,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/accounting-and-finance/international-finance-full-time-swansea
University of Wales Trinity Saint David,Creative Writing,Creative Writing and Philosophy,BA,https://www.uwtsd.ac.uk/programme-courses/undergraduate/english-and-creative-writing/creative-writing-and-philosophy-full
