uniName,programmeName,courseName,degreeName,courseUrlExternal
University of Winchester,Business and Management,Business Management (Top-up),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Business-Management-Top-up/
University of Winchester,Film Production,Film Production (Top-Up),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Film-Production-Top-up/
University of Winchester,Education,Film Studies (Top-Up),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Film-Studies-Top-up/
University of Winchester,Music,Music and Sound Production (Top-Up),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Music-and-Sound-Production-Top-up/
University of Winchester,Music,Popular Music: Production and Performance (Top-Up),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Popular-Music-Production-and-Performance-Top-up/
University of Winchester,Accounting and Finance,Accounting and Finance,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Accounting-and-Finance/
University of Winchester,Anthropology and Archaeology,Anthropology and Archaeology,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Anthropology-and-Archaeology/
University of Winchester,Business and Management,Business Management,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Business-Management/
University of Winchester,Creative Writing,Creative Writing,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Creative-Writing/
University of Winchester,Criminology,Criminology with Law,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Criminology-with-Law/
University of Winchester,English Literature,English Literature,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-English-Literature/
University of Winchester,English Literature,English Literature and Film,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-English-Literature-and-Film/
University of Winchester,"Hospitality, Event Management and Tourism",Event Management,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Event-Management/
University of Winchester,Business and Management,Fashion Business and Marketing,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Fashion-Business-and-Marketing/
University of Winchester,Film Production,Film Production,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Film-Production/
University of Winchester,Education,Film Studies,BA,https://www.winchester.ac.uk/study/undergraduate/courses/ba-hons-film-studies-2025/
University of Winchester,Politics,History and Politics,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-History-and-Politics/
University of Winchester,Journalism,Journalism,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Journalism/
University of Winchester,Criminology,Law with Criminology,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Law-with-Criminology/
University of Winchester,Marketing,Marketing,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Marketing/
University of Winchester,Music,Music and Sound Production,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Music-and-Sound-Production/
University of Winchester,Music,Musical Theatre,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Musical-Theatre/
University of Winchester,International Relations,Politics with International Relations,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Politics-with-International-Relations/
University of Winchester,Music,Popular Music: Production and Performance,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Popular-Music-Production-and-Performance/
University of Winchester,Journalism,Sports Journalism,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Sports-Journalism/
University of Winchester,Education,Film and Media Studies,BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Film-and-Media-Studies/
University of Winchester,Nursing,Nursing (Child),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BN-Hons-Nursing-Child/
University of Winchester,Accounting and Finance,Accounting and Finance (with Foundation Year),BA,https://www.winchester.ac.uk/study/foundation-year/courses/ba-hons-accounting-and-finance-with-foundation-year/
University of Winchester,Business and Management,Business Management (with Foundation Year),BA,https://www.winchester.ac.uk/study/foundation-year/courses/ba-hons-business-management-with-foundation-year-2025/
University of Winchester,"Hospitality, Event Management and Tourism",Event Management (with Foundation Year),BA,https://www.winchester.ac.uk/study/foundation-year/courses/ba-hons-event-management-with-foundation-year-2025/
University of Winchester,Business and Management,Fashion Business and Marketing (with Foundation Year),BA,https://www.winchester.ac.uk/study/foundation-year/Courses/BA-Hons-Fashion-Business-and-Marketing-with-Foundation-Year-2025/
University of Winchester,Education,Film Studies (with Sandwich Year),BA,https://www.winchester.ac.uk/study/undergraduate/Courses/BA-Hons-Film-Studies/
University of Winchester,Marketing,Marketing (with Foundation Year),BA,https://www.winchester.ac.uk/study/foundation-year/courses/ba-hons-marketing-with-foundation-year-2025/
University of Winchester,Nursing,Nursing (Adult),BNurs,https://www.winchester.ac.uk/study/undergraduate/courses/bn-hons-nursing-adult-2025/
University of Winchester,Nursing,Nursing (Learning Disabilities),BNurs,https://www.winchester.ac.uk/study/undergraduate/courses/bn-hons-nursing-learning-disabilities-2025/
University of Winchester,Health Professions,Nursing (Mental Health),BNurs,https://www.winchester.ac.uk/study/undergraduate/Courses/BN-Hons-Nursing-Mental-Health/
University of Winchester,Computer Science,Computer Science (Top-Up),BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Computer-Science-Top-up/
University of Winchester,Computer Science,Cyber Security (Top-Up),BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Cyber-Security-Top-up/
University of Winchester,Computer Science,Computer Science,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Computer-Science/
University of Winchester,Computer Science,Cyber Security,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Cyber-Security/
University of Winchester,Accounting and Finance,Economics and Finance,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Economics-and-Finance/
University of Winchester,Forensic Science,Forensic Science,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Forensic-Science/
University of Winchester,Geography,Geography,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Geography/
University of Winchester,Health Professions,Health and Social Care,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Health-and-Social-Care/
University of Winchester,Midwifery,Midwifery,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Midwifery/
University of Winchester,Other,Physiotherapy,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Physiotherapy/
University of Winchester,Development Studies,Psychology and Child Development,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Psychology-and-Child-Development/
University of Winchester,Psychology,Sport and Exercise Psychology,BSc,https://www.winchester.ac.uk/study/undergraduate/Courses/BSc-Hons-Sport-and-Exercise-Psychology/
